sender_id,receiver_id,value,corrected
34,0,1.0,1
53,0,1.0,1
33,0,2.0,0
33,0,2.0,0
63,0,2.0,1
14,0,2.0,0
34,0,0.0,1
34,0,0.0,1
57,0,1.0,1
57,0,1.0,1
34,0,0.0,1
34,0,0.0,1
109,0,1.0,1
101,0,1.0,1
101,0,1.0,1
34,0,-1.0,1
165,0,1.0,0
101,0,1.0,1
165,0,0.0,1
101,0,1.0,1
5,2,1.0,1
14,2,1.0,1
107,2,2.0,0
70,3,1.0,0
51,3,1.0,1
62,3,0.0,1
62,3,1.0,1
62,3,0.0,1
57,3,0.0,1
57,3,0.0,1
101,3,1.0,1
101,3,1.0,1
101,3,1.0,1
34,3,0.0,1
101,3,1.0,1
101,3,1.0,1
52,3,1.0,1
134,3,2.0,0
138,3,1.0,0
123,3,2.0,0
123,3,2.0,0
123,3,1.0,1
123,3,1.0,1
123,3,2.0,1
123,3,2.0,0
123,3,2.0,0
247,3,1.0,1
247,3,1.0,1
247,3,0.0,1
247,3,1.0,1
247,3,0.0,1
247,3,0.0,0
247,3,1.0,0
247,3,1.0,0
247,3,1.0,0
247,3,1.0,0
247,3,1.0,1
247,3,0.0,1
97,3,2.0,0
57,3,0.0,1
97,3,2.0,0
433,3,1.0,1
80,4,0.0,0
101,5,1.0,1
57,5,2.0,0
120,5,2.0,0
101,5,2.0,1
44,5,2.0,0
101,5,1.0,1
107,5,2.0,0
174,6,2.0,0
247,6,1.0,1
34,8,1.0,0
34,8,1.0,1
34,8,0.0,1
109,8,1.0,1
109,8,1.0,1
113,8,2.0,0
101,8,1.0,0
101,8,0.0,1
109,8,1.0,1
109,8,2.0,1
57,8,0.0,1
101,8,1.0,1
107,8,1.0,0
101,8,0.0,1
101,8,1.0,1
52,8,0.0,1
19,8,2.0,0
165,8,1.0,1
159,8,2.0,0
154,8,0.0,1
101,8,2.0,0
52,8,1.0,1
101,8,1.0,1
165,8,0.0,1
154,8,1.0,0
101,8,0.0,1
101,8,1.0,1
101,8,1.0,1
52,8,0.0,1
165,8,1.0,1
101,8,2.0,0
165,8,0.0,1
101,8,0.0,1
101,8,1.0,1
165,8,0.0,1
166,8,1.0,1
101,8,1.0,1
185,8,2.0,0
101,8,1.0,1
101,8,1.0,1
127,8,2.0,0
165,8,0.0,1
101,8,1.0,1
192,8,2.0,0
101,8,0.0,1
165,8,0.0,1
114,8,2.0,0
165,8,0.0,1
165,8,0.0,1
101,8,1.0,1
165,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,0
132,8,1.0,1
132,8,1.0,0
247,8,1.0,0
247,8,1.0,0
247,8,1.0,0
247,8,1.0,0
132,8,0.0,1
5,9,2.0,0
247,9,2.0,0
97,9,2.0,1
97,9,1.0,1
47,10,1.0,1
50,10,1.0,1
60,10,1.0,1
60,10,2.0,0
3,11,1.0,1
14,11,0.0,1
53,11,2.0,0
109,11,-1.0,1
84,11,2.0,0
47,12,1.0,1
101,12,1.0,1
109,12,1.0,1
120,12,1.0,1
120,12,1.0,1
101,12,0.0,1
101,12,1.0,1
52,12,0.0,1
3,12,1.0,1
34,12,0.0,1
34,12,0.0,1
132,12,0.0,1
132,12,0.0,0
165,12,0.0,1
170,12,1.0,1
267,12,-1.0,1
123,12,-1.0,1
114,12,0.0,1
247,12,0.0,0
247,12,1.0,0
247,12,0.0,0
132,12,0.0,1
132,12,1.0,0
226,12,1.0,1
132,12,1.0,0
132,12,1.0,0
5,12,1.0,1
170,12,1.0,1
247,12,2.0,0
132,12,0.0,1
96,12,1.0,1
247,12,1.0,1
247,12,1.0,1
247,12,0.0,1
247,12,1.0,1
247,12,1.0,1
247,12,1.0,1
132,12,1.0,1
247,12,0.0,1
247,12,2.0,0
132,12,1.0,1
129,12,1.0,1
166,12,1.0,1
247,12,1.0,1
34,12,-1.0,1
57,12,0.0,1
247,12,1.0,1
247,12,0.0,1
57,12,1.0,1
3,12,1.0,1
433,12,1.0,1
247,12,1.0,1
60,12,2.0,0
247,12,0.0,1
52,13,0.0,1
34,14,1.0,1
55,14,1.0,0
34,14,0.0,1
34,14,0.0,1
51,14,1.0,1
34,14,0.0,1
57,14,-1.0,1
32,14,1.0,1
113,14,2.0,0
113,14,2.0,0
118,14,2.0,0
113,14,2.0,0
113,14,2.0,0
113,14,2.0,0
19,14,2.0,0
34,14,1.0,1
113,14,2.0,0
107,14,2.0,0
34,14,2.0,1
113,14,2.0,1
49,14,2.0,1
134,14,2.0,0
101,14,1.0,1
101,14,0.0,1
133,14,-1.0,1
144,14,2.0,1
170,14,1.0,1
144,14,2.0,1
34,15,1.0,1
57,15,1.0,1
165,15,1.0,0
34,16,1.0,1
34,16,1.0,1
34,16,0.0,1
5,16,1.0,1
247,16,1.0,1
247,16,0.0,1
247,16,1.0,1
5,16,2.0,1
247,16,1.0,1
247,16,1.0,1
247,16,1.0,1
96,16,1.0,1
247,16,1.0,1
267,16,1.0,1
39,16,0.0,1
97,16,1.0,1
132,16,1.0,0
47,16,0.0,1
47,16,1.0,1
57,16,1.0,1
247,16,1.0,1
247,16,1.0,1
226,16,1.0,1
57,16,0.0,1
5,16,1.0,1
247,16,0.0,1
57,16,0.0,1
247,16,1.0,1
132,16,1.0,1
247,16,1.0,1
247,16,2.0,1
247,16,0.0,1
247,16,-1.0,1
247,16,1.0,1
14,17,2.0,0
101,18,1.0,1
271,18,0.0,1
62,19,0.0,1
57,19,1.0,1
34,19,0.0,1
34,19,0.0,1
34,19,-1.0,1
57,19,1.0,1
62,19,0.0,1
80,19,1.0,0
34,19,1.0,1
34,19,1.0,1
34,19,0.0,1
109,19,2.0,1
57,19,0.0,1
117,19,1.0,1
101,19,1.0,1
109,19,2.0,1
34,19,0.0,1
101,19,1.0,1
5,19,2.0,1
32,19,1.0,1
114,19,2.0,1
134,19,1.0,1
37,19,-1.0,0
37,19,-1.0,1
37,19,0.0,1
101,19,1.0,1
134,19,0.0,1
134,19,2.0,0
158,19,2.0,0
134,19,2.0,0
134,19,-1.0,1
165,19,0.0,1
165,19,0.0,1
101,19,0.0,1
165,19,0.0,1
34,19,1.0,1
165,19,1.0,0
165,19,0.0,1
165,19,0.0,1
165,19,0.0,1
165,19,1.0,1
123,19,2.0,0
123,19,2.0,0
165,19,1.0,1
165,19,1.0,1
123,19,1.0,1
165,19,-1.0,1
140,19,1.0,1
247,19,2.0,0
165,19,1.0,1
192,19,0.0,0
133,19,-1.0,1
247,19,1.0,0
247,19,1.0,0
34,19,0.0,1
5,19,1.0,1
34,19,-1.0,1
5,19,1.0,1
132,19,1.0,0
247,19,0.0,1
97,19,0.0,1
247,19,1.0,1
247,19,0.0,1
247,19,1.0,1
247,19,1.0,1
5,19,1.0,1
247,19,1.0,1
247,19,1.0,1
132,19,1.0,0
34,19,-1.0,1
34,19,2.0,1
247,19,0.0,1
107,19,1.0,1
34,19,2.0,1
247,19,1.0,1
14,19,1.0,1
34,19,0.0,1
97,19,2.0,1
132,19,1.0,0
247,19,0.0,1
97,19,2.0,1
247,19,0.0,1
247,19,1.0,1
45,19,0.0,0
247,19,1.0,1
132,19,1.0,0
132,19,1.0,0
3,19,1.0,1
267,19,0.0,1
433,19,-2.0,0
5,20,2.0,0
5,20,2.0,0
247,20,1.0,1
247,20,0.0,1
247,20,1.0,1
166,20,1.0,1
5,21,1.0,1
57,21,0.0,1
34,21,2.0,1
48,22,2.0,0
3,22,1.0,1
19,23,1.0,0
34,23,1.0,0
19,23,1.0,0
34,23,1.0,0
34,23,1.0,0
36,23,1.0,0
39,23,2.0,0
14,23,2.0,0
14,23,1.0,1
34,23,1.0,1
4,23,2.0,0
60,23,1.0,0
14,23,1.0,1
46,23,2.0,0
60,23,2.0,0
111,23,1.0,1
111,23,1.0,1
61,23,2.0,1
101,23,0.0,0
101,24,-1.0,0
32,24,0.0,1
101,24,1.0,1
34,25,1.0,0
47,25,2.0,0
34,25,1.0,0
34,25,1.0,0
14,25,2.0,0
19,25,1.0,0
14,25,2.0,0
19,25,1.0,0
37,25,1.0,0
26,25,1.0,1
14,25,1.0,1
80,25,0.0,1
34,25,1.0,1
111,25,1.0,1
101,25,1.0,1
111,25,1.0,1
14,25,2.0,1
111,25,1.0,1
101,25,1.0,1
111,25,1.0,1
57,25,0.0,1
14,25,1.0,1
101,25,1.0,1
134,25,-1.0,1
153,25,2.0,0
155,25,2.0,0
155,25,2.0,0
155,25,2.0,1
155,25,2.0,0
153,25,1.0,0
34,25,1.0,1
34,25,1.0,1
101,25,1.0,1
159,25,1.0,1
