sender_id,receiver_id,corrected,value
294,58,1,3.0
14,55,1,2.0
34,296,1,1.0
165,58,1,3.0
159,195,1,4.0
47,58,1,3.0
101,165,1,3.0
34,187,1,2.0
53,61,0,4.0
39,58,1,0.0
132,324,0,3.0
62,86,1,3.0
271,267,1,3.0
247,133,0,3.0
132,324,0,3.0
62,70,1,2.0
101,102,1,3.0
101,267,1,2.0
123,30,1,1.0
132,8,0,3.0
247,58,0,3.0
101,238,1,2.0
101,58,1,3.0
101,154,1,3.0
169,165,0,3.0
166,291,1,1.0
154,165,1,2.0
101,93,1,2.0
57,109,1,3.0
101,70,1,3.0
34,58,1,1.0
170,207,0,3.0
192,31,1,3.0
280,287,1,4.0
123,107,1,4.0
247,132,0,4.0
34,149,1,1.0
194,154,1,4.0
170,165,1,3.0
132,261,0,3.0
57,78,1,2.0
154,133,1,3.0
132,41,0,2.0
132,58,0,3.0
57,58,1,2.0
101,58,0,4.0
134,133,0,4.0
101,25,1,3.0
132,217,0,3.0
170,253,1,1.0
134,165,1,1.0
60,70,0,4.0
51,165,1,4.0
14,166,1,3.0
219,223,1,1.0
165,132,1,3.0
57,67,0,4.0
57,165,1,3.0
247,315,0,3.0
97,155,1,3.0
34,301,1,2.0
121,187,1,3.0
97,383,1,4.0
192,113,1,3.0
138,25,1,3.0
132,351,0,3.0
165,144,0,1.0
170,30,0,3.0
34,364,0,0.0
247,3,1,3.0
154,165,1,2.0
247,16,1,3.0
109,12,1,3.0
165,154,0,2.0
123,165,1,3.0
120,55,1,3.0
97,165,0,4.0
60,23,0,3.0
132,8,0,3.0
97,58,0,4.0
14,64,1,3.0
57,318,1,2.0
263,427,0,4.0
101,113,1,3.0
34,106,1,1.0
247,31,0,3.0
165,195,1,2.0
154,132,0,3.0
247,58,0,2.0
101,154,1,3.0
129,58,1,2.0
34,189,1,3.0
185,58,0,3.0
132,134,0,2.0
158,195,1,3.0
62,83,1,2.0
34,58,1,2.0
92,114,1,4.0
34,355,1,2.0
165,132,0,4.0
132,58,1,3.0
165,30,1,2.0
34,343,1,1.0
34,236,0,0.0
57,12,1,3.0
30,192,0,3.0
153,25,0,3.0
34,31,1,3.0
34,210,1,1.0
23,47,0,4.0
57,342,1,3.0
164,194,1,3.0
5,389,0,4.0
133,165,1,3.0
101,58,1,2.0
113,14,0,4.0
155,27,1,3.0
165,65,1,2.0
247,408,0,4.0
101,98,0,3.0
34,149,1,2.0
111,25,1,3.0
52,30,1,2.0
247,16,1,3.0
247,315,1,3.0
101,191,1,1.0
123,207,1,2.0
431,206,1,2.0
101,34,1,3.0
34,269,1,0.0
101,111,0,4.0
5,333,1,3.0
19,25,0,3.0
132,58,1,2.0
101,195,0,4.0
34,325,1,3.0
185,165,1,4.0
52,58,1,2.0
0,68,0,4.0
247,312,1,2.0
268,58,0,4.0
166,165,1,1.0
226,296,0,2.0
247,58,1,3.0
247,328,1,3.0
62,43,1,2.0
101,154,1,3.0
101,109,1,3.0
165,107,1,3.0
165,134,0,1.0
61,53,1,3.0
34,53,1,2.0
5,194,1,3.0
247,165,0,4.0
247,58,0,3.0
180,207,1,4.0
34,236,0,0.0
174,34,1,1.0
34,246,1,1.0
174,44,1,1.0
62,57,1,2.0
57,58,1,2.0
247,355,1,3.0
109,114,1,3.0
247,58,1,2.0
51,53,1,3.0
247,184,0,4.0
170,326,1,3.0
247,175,0,3.0
115,133,1,3.0
55,58,1,3.0
174,287,0,4.0
165,296,1,2.0
280,251,1,3.0
247,58,1,3.0
54,57,1,2.0
154,134,0,4.0
247,362,1,3.0
132,358,1,3.0
101,107,1,3.0
92,32,0,4.0
120,58,1,3.0
165,195,1,2.0
