sender_id,receiver_id,value,corrected,corrected_body,origin_body,diff
29,0,1.0,1,"I am sorry to tell you that we cannot accept the method you offer.
That is because the auxiliary battery is very expensive,
and if I bear the cost, it is too much for me.
Sorry to cause you inconvenience, but kindly please understand my situation.
Thank you.","I am sorry to tell you that we cannot accept the method you offer.
That is because the auxiliary battery is very expensive,
and if I bear the cost, it is too much for me.
Sorry to cause you inconvenience but kindly please understand my situation.
Thank you.",1
44,0,1.0,1,"Thank you very much for your decision.
The price is $550.00 plus $35.00. At first, please pay the total amount following the instruction.
Once I confirm your payment, I will refund you $50.00 promptly.
Please note that, it is OK for me to describe that  $50 for the value of the item, and
is a gift,
but I can not be responsible if it is lost or damaged during the transportation.
If you accept it, I will describe them with your instruction.
(Please understand that this is the special handling only for you.)
If you confirm and accept the details above explanation, please make a payment.
I am looking forward to receiving your reply.","Thank you very much for your decision.
The price is $550.00 plus $35.00. At first, please pay the total amount following the instruction.
Once I confirm your payment, I will refund you $50.00 promptly.
And please note that, it is OK for me to describe that the value of the item is $50 and that is a gift,
but I cannot be responsible if it is lost or damaged during the transportation.
If you accept the it, I will describe per your instruction.
(Please understand that this is the special handling only for you.)
If you confirm and accept the above explanation, please pay.
I am looking forward to your reply.",10
28,0,2.0,0,"Hello,

I returned the item to you the other day. Have you received it?
Once you confirm the return, please refund me the following amount:
$18.14 ($12.99 for the item and $5.15 for the shipping)

Thank you. ","Hello,

I returned the item to you the other day. Have you received it?
Once you confirm the return, please refund me the following amount:
$18.14 ($12.99 for the item and $5.15 for the shipping)

Thank you. ",0
28,0,2.0,0,"I received the item which I bought from you, but the user's manual was not included. How can I get the user's manual?","I received the item which I bought from you, but the user's manual was not included. How can I get the user's manual?",0
53,0,2.0,1,"Thank you for sending me a great draft, Miranda. As for the assertion relating to the Article 20, I have nothing to add. The other party will be liable for asserting regarting the Article 10, but I think that it would be better for us to prepare a counter-statement. What is your opinion? It would as follows:

(1) The Asbestos Prohibition Act is not in violation of the Article 10 of the Trade Act.
(1)-1 Asbestos and its substitutes do not fall in the same type of products.
(1)-2 It cannot be deemd that products made in Canada is teated in discriminatory manner.
","Thank you for sending me a great draft, Miranda. As for the assertion relating to the Article 20, I have nothing to add. The other party will be liable for asserting regarting the Article 10, but I think that it would be better for us to prepare a counter-statement. How is your opinion? It would as follows:

(1) The Asbestos Prohibition Act is not in violation of the Article 10 of the Trade Act.
(1)-1 Asbestos and its substitutes do not fall in the same type of products.
(1)-2 It cannot be deemd that products made in Canada is teated in discriminatory manner.
",1
11,0,2.0,0,"Confirmation 2
Contents of lot shipment

You say that you want me to ship 4 to 5 units in 1 lot.
I have a question concerning this point.
The weight of the product is 4 ounce/1 product.
If 4 to 5 units are jammed in one package, the total weight including the outer package would exceed 1 lbs.
Therefore, it is difficult to have one lot with its weight under 1 lbs.
If you want the weight of one lot to be lower than 1 lbs, the number of units per lot might be decreased.
We, on our side, will also look for any other good solution. ","Confirmation 2
Contents of lot shipment

You say that you want me to ship 4 to 5 units in 1 lot.
I have a question concerning this point.
The weight of the product is 4 ounce/1 product.
If 4 to 5 units are jammed in one package, the total weight including the outer package would exceed 1 lbs.
Therefore, it is difficult to have one lot with its weight under 1 lbs.
If you want the weight of one lot to be lower than 1 lbs, the number of units per lot might be decreased.
We, on our side, will also look for any other good solution. ",0
29,0,0.0,1,Thank you for your reply. I noticed that Japan was not listed in the shipping destination countries. So the shipping fee will not be set even if I win the bid. Is there any problem if I win the bid? Or can you send me the invoice after I win the bid?,Thank you for your reply. I noticed that Japan was not listed in the shipping destination countries. So the shipping fee will not be set even if I win the bid. Is there no problem if I win the bid? Or can you send me the invoice after I win the bid? ,1
29,0,0.0,1,"Hello, this is Yamada, who placed an order for ABC from Japan this week. The order number is 12345. I would like to place an additional order for two sets of sticker packs. How much would be the shipping fee to Japan? I would appreciate it if you could send me a Paypal invoice.
I am looking forward to your reply. Thank you.
","Hello, this is Yamada, who placed an order for ABC from Japan last week. The order number is 12345. I would like to place an additional order for two sets of the sticker packs. How much would be the shipping fee to Japan? I would appreciate of you send me the Paypal invoice.
I am looking forward to your reply. Thank you.
",5
48,0,1.0,1,"Dear ○○,

Thank you for your message.
I am interested in all of the outfits in your shop.
Thank you for offerring me the discount of 40% for the purchase of more than HK$6,000 per order.

It is hard for me to buy so much as this is the first time for me, so I would like to sell items trying to see if each item sells or not.

I would like to use the images of the items of the outfits in your shop to list in my net shop. Can you permit me to use them?
Additionally, can you give me the images without logos?

I am looking forward to your reply.","Dear ○○,

Thank you for your message.
I am interested in all of the outfits in your shop.
Thank you for your offerring me the discount of 40% for the purchase of more than HK$6,000 per order.

It is hard for me to buy so much as this is the forst time for me, so I would like to sell items trying to see if each item sell or not.

I would like to use the images of the items of the outfits in your shop to list in my net shop. Can you permit me to use it?
Additionally, can you give me the images without logos?

I am looking forward to your reply.",4
48,0,1.0,1,"I have just checked the status, and found that it was delivered to your nearest delivery office.

Once you receive it, do not open the package and please return it to me within three days.
(Please select registered mail to return it.)

As soon as I receive it, I will refund you the price for the item as well as the shipping fee. ","I have just checked the status, and found that it was delivered to a station near your address.

Once you receive it, do not open the package and please return it to me within three days.
(Please return it via registered mail.)

As soon as I receive it, I will refund you the price for the item as well as the shipping fee.",4
