file,mu0,gamma0,eta0,kappa0
PC2-20171214224841.pkl,7.0160533895,8.9472429186,2.2638238247,59.3821638363
PC2-20171214225518.pkl,9.89288992403,26.7046958663,9.29472080799,59.1463988838
PC2-20171214233523.pkl,11.6737297274,28.7099017119,4.27360334984,6.57486796967
PC2-20171215001751.pkl,19.8273799549,17.0960092869,0.540675427236,80.5023812738
PC2-20171215010028.pkl,13.0794162016,9.7145759264,1.67098761445,58.5131523329
PC2-20171215014222.pkl,12.7070962299,7.73025437692,0.359053333176,52.2881186902
PC2-20171215020453.pkl,9.41547285339,9.96323816955,6.19562764829,18.2733411314
PC2-20171215024623.pkl,19.0799139949,14.7034769466,9.25828599614,39.5014183631
PC2-20171215025814.pkl,5.10672227118,14.5759453224,4.10776520372,99.544490024
PC2-20171215031036.pkl,8.95557294858,2.41065789845,1.38568680968,46.6935013207
PC2-20171215034832.pkl,17.2194967292,26.733746468,3.29246038707,82.0204885437
PC2-20171215035123.pkl,1.81257342594,25.2587318278,9.50354146977,89.1877074836
PC2-20171215043441.pkl,19.4791852756,10.4611483735,2.84583007506,15.6196904436
PC2-20171215043834.pkl,5.77837110569,20.378223501,5.89384076667,64.5865186951
PC2-20171215044457.pkl,3.46976601121,28.6282203936,2.60845475729,3.33080547003
PC2-20171215052603.pkl,6.51689299541,15.7197531954,3.21817345355,52.8808494857
PC2-20171215054804.pkl,5.78711817645,5.42141360553,0.39495474055,78.3047721776
PC2-20171215055341.pkl,1.96894650949,19.3425619984,4.68261632379,95.8265159426
PC2-20171215055946.pkl,5.70929676546,3.63049931207,4.66140476681,40.5514087481
PC2-20171215064146.pkl,13.4942388668,27.3757336137,1.15963928631,23.8274494368
PC2-20171215072435.pkl,16.0150212532,16.610844347,7.22125341981,33.3871389173
PC2-20171215080542.pkl,15.0327294854,27.2367317112,1.11706293152,86.1414030063
PC2-20171215084710.pkl,18.9693560143,10.4912026462,4.23963315465,36.3881793922
PC2-20171215085109.pkl,6.30165716489,9.97513486256,9.2149830095,3.7607918003
PC2-20171215090224.pkl,3.26783281902,9.88791678244,1.39369475189,48.3683508156
PC2-20171215090637.pkl,4.28307708047,26.8844212616,5.55334915837,28.8994607665
PC2-20171215093015.pkl,10.3068424829,5.77190251078,4.03246977043,18.5314290638
PC2-20171215101312.pkl,18.1294990982,2.48912854336,2.92959056472,49.078400503
PC2-20171215103522.pkl,18.5244403332,1.83157954943,2.80821551909,98.9396027799
PC2-20171215103911.pkl,5.73826798542,17.082042264,9.79789553788,27.3070768037
PC2-20171215110117.pkl,0.928991042262,10.7060524081,0.0676343568655,55.2129962554
PC2-20171215114322.pkl,19.7363615745,11.8280206148,8.96060548856,85.3469289947
PC2-20171215122553.pkl,14.0584219973,14.1020904719,1.21622673608,91.6588210789
PC2-20171215124844.pkl,14.1085405555,25.132976466,1.56293744692,39.403483516
PC2-20171215133020.pkl,16.317413174,15.1211175829,6.3486923346,30.3370180536
PC2-20171215141347.pkl,17.1107814082,5.18613042297,7.77976150171,64.6949803684
PC2-20171215145453.pkl,16.3350709017,16.7921929556,6.16859643219,53.7620492939
PC2-20171215145912.pkl,12.7520781749,23.9990088693,8.42305194351,65.9953842807
PC2-20171215153404.pkl,6.775532633,9.14055424635,0.0279652368814,93.2797904412
PC2-20171215153944.pkl,5.54777505575,26.9940632607,3.61032239605,66.5553668226
PC2-20171215162159.pkl,16.3609188558,17.7339567011,5.06375812805,41.2568609533
PC2-20171215163021.pkl,14.8853095308,1.96025528869,5.89651219074,50.4269455435
PC2-20171215171235.pkl,18.2257681984,24.0462869122,5.38448082376,26.5696374167
PC2-20171215173411.pkl,17.9873950246,26.3509221206,7.50636078056,88.094433779
PC2-20171215181634.pkl,12.0904932044,17.1415002816,3.78660448752,69.0521054275
PC2-20171215185918.pkl,10.4957498971,9.97404381635,0.923563580339,37.1470539519
PC2-20171215194247.pkl,16.6316056477,5.82107244155,3.93133828553,54.0849477466
PC2-20171215202359.pkl,18.7562868699,29.9173366161,0.56642847395,86.1660263296
PC2-20171215203459.pkl,0.102402236918,17.0440625015,0.894174554599,11.850104226
PC2-20171215211942.pkl,9.31612523405,0.166073270751,5.22260653262,5.47816388421
PC2-20171215212602.pkl,3.86564909315,9.04386760767,2.67713126099,87.3040096704
PC2-20171215220838.pkl,15.8110644652,14.3019066988,0.365340041174,21.7607814976
PC2-20171215221209.pkl,3.8533704996,12.8164648055,5.51900101017,4.6080235078
PC2-20171215221858.pkl,10.2772034485,25.4493626025,6.44497876453,52.5542806824
PC2-20171215230221.pkl,16.1601546937,14.8497438203,0.915247372492,64.3976500105
PC2-20171215234530.pkl,19.7071884332,10.7907139133,8.89819956133,8.29234996133
PC2-20171216000802.pkl,8.01331640187,11.9592588664,6.17803907141,46.8826664846
PC2-20171216001417.pkl,9.47000151375,1.56404114621,3.89907043699,12.6532237591
PC2-20171216005727.pkl,18.5937081248,6.39654408561,1.05516341247,2.48463488948
PC2-20171216011913.pkl,14.9825343437,0.506801290189,9.68036375847,33.9540653058
PC2-20171216012338.pkl,10.7732828845,21.6996557454,6.21359615368,91.4406156617
PC2-20171216014642.pkl,12.9537214741,2.1379453272,0.580225580214,9.52015489135
PC2-20171216023014.pkl,18.7499185543,5.66394036498,3.03602919025,52.8513780178
PC2-20171216031325.pkl,13.3616747519,6.44883719152,5.89755372479,24.3323670141
PC2-20171216031630.pkl,1.01771633966,10.0038620601,4.46935981586,75.4985734187
PC2-20171216035854.pkl,16.548052069,18.4656896825,3.20124552479,92.8009022133
PC2-20171216043743.pkl,11.8953088497,18.3649214385,0.923230551806,83.651819212
PC2-20171216044249.pkl,0.27128267182,25.7213876234,2.88120783701,25.5961260508
PC2-20171216044545.pkl,2.17443578101,15.9698281899,9.51184717505,25.3043819295
PC2-20171216045006.pkl,5.4503402212,9.31874497823,5.41872916197,27.0712910434
PC2-20171216045542.pkl,1.96530066954,7.73828790324,5.01756049023,70.7035664472
PC2-20171216053710.pkl,14.9956780717,17.4787682019,9.07021970479,4.81911778045
PC2-20171216054055.pkl,3.0972822427,23.3168954291,4.66282307353,35.7942755034
PC2-20171216062322.pkl,19.5180452266,22.419555084,7.5138383626,12.2657983155
PC2-20171216070458.pkl,18.9855118613,20.9026494677,4.29247723391,2.73772476546
PC2-20171216070905.pkl,6.99954052498,6.26180377286,6.37771155238,53.3303639471
PC2-20171216071629.pkl,11.5021985911,16.4919367917,5.0889719028,95.3824650915
PC2-20171216075847.pkl,7.41096109207,13.7183260282,7.12964200561,86.344252336
PC2-20171216080149.pkl,0.955406581898,18.5397571443,5.72444078957,83.2759630825
PC2-20171216080552.pkl,5.81557239018,10.5866414782,7.20504459904,31.0235326184
PC2-20171216084858.pkl,15.2556604609,6.10569633896,7.24461648451,21.4045211925
PC2-20171216092541.pkl,12.1953225299,28.9263232672,9.83594558957,87.6288780264
PC2-20171216100758.pkl,18.1837735173,20.1474928098,7.93835418637,97.5109326998
PC2-20171216105104.pkl,17.5409298582,12.238421463,0.107023119777,84.2820530061
PC2-20171216113314.pkl,17.5764669124,21.8973524677,7.88535388667,36.5923347095
PC2-20171216114109.pkl,10.5199587454,2.05394945575,3.82227793596,37.2021799153
PC2-20171216120338.pkl,13.8952995394,12.1848709741,9.18862480492,91.4996525007
PC2-20171216120635.pkl,0.434888157595,14.8023269393,9.61740458146,61.9965844489
PC2-20171216121408.pkl,4.03667856985,0.436672021268,7.96351956132,65.0840638297
PC2-20171216122018.pkl,8.71042606246,1.81519341035,6.31222777322,2.86036042382
PC2-20171216122630.pkl,7.59234296594,2.27948196896,4.74700584228,55.3151489298
PC2-20171216130806.pkl,13.3369570058,16.3595070713,6.72867448171,40.0869655203
PC2-20171216135000.pkl,12.5078246871,8.52568458085,7.32563302847,6.06737595472
PC2-20171216140207.pkl,7.11806045465,13.186754346,2.79691368024,13.1883427915
PC2-20171216144440.pkl,17.637158683,15.6239767942,1.43085180642,19.6578084612
PC2-20171216145222.pkl,14.1718373245,28.7741084459,7.71695987028,97.2607133372
PC2-20171216151443.pkl,14.1587680375,17.5583312074,6.81565061301,48.031765335
PC2-20171216155613.pkl,14.289239564,21.989765527,8.08561784474,83.4365775049
PC2-20171216163913.pkl,12.8631593651,8.71671184297,0.961967408233,70.3170001302
PC2-20171216172056.pkl,17.4395923416,19.2096492876,4.50723486301,91.6179056793
PC2-20171216172711.pkl,7.80125901329,4.9615567734,8.25798222117,91.5594851622
PC2-20171216173019.pkl,2.37395826932,27.1857012768,5.68415552406,92.8459283071
PC2-20171216181340.pkl,15.3526589431,23.4632514915,0.708681160757,94.4391677675
PC2-20171216181736.pkl,6.33996469051,9.31339988129,9.32686897543,48.4772759666
PC2-20171216185955.pkl,10.4202865396,26.9948065527,2.34427262001,37.0690275115
PC2-20171216190350.pkl,3.86461427396,16.1515489128,6.8578504636,97.4017869305
PC2-20171216194707.pkl,17.5148816678,4.42540095334,2.01764511372,25.4222967727
PC2-20171216203032.pkl,17.8101843899,13.7744224195,4.39167687971,30.9093813264
PC2-20171216203612.pkl,2.7356837633,5.30475846252,5.30431626467,70.7257907551
PC2-20171216211830.pkl,13.2286429635,22.9915363784,3.4455214614,84.2687418862
PC2-20171216212249.pkl,11.306747563,22.6957722456,7.77988060574,90.3993534732
PC2-20171216212721.pkl,7.87018615858,28.3896230872,4.02250114929,97.14404126
PC2-20171216213515.pkl,14.7522105109,2.63998638189,9.13364657585,73.208716793
PC2-20171216215816.pkl,12.5225125996,24.2361377855,6.19109486234,37.5508846101
PC2-20171216224039.pkl,14.5757504408,6.92601628167,7.4187765659,55.3392426983
PC2-20171216232255.pkl,19.3548898812,20.7757285985,2.69860281323,88.2888883507
PC2-20171217000458.pkl,19.3828131722,25.9896330202,8.33635743963,86.8649716444
PC2-20171217000906.pkl,12.2314078464,22.1548215777,9.19771161197,39.7454792121
PC2-20171217001259.pkl,6.81022624227,3.99641240038,9.88950922877,33.5628311763
