file,mu0,gamma0,alpha0,beta0,eta0,kappa0
PCG1-20171211200557.pkl,2.56899439169,2.21206129866,29.7723349124,36.5020940368,21.2988331502,29.1432416445
PCG1-20171211200800.pkl,3.72360337148,3.96081888426,63.4319328845,12.8475319737,10.3834853449,78.7835175262
PCG1-20171211201019.pkl,2.8220625429,1.44535194676,49.4824484844,27.7163046637,28.4894413761,78.6584013883
PCG1-20171211201233.pkl,1.07363772665,0.663798765597,29.609950302,12.4805070711,12.8014969696,50.8496184501
PCG1-20171211201501.pkl,1.61745238758,0.0287798038343,25.7995933144,61.0473305389,17.486398805,74.6808743417
PCG1-20171211201720.pkl,3.49844339717,2.19536347631,87.6801276191,92.9314899833,19.8177548891,66.6818294592
PCG1-20171211201950.pkl,2.80263893717,2.84185445495,12.6806008168,70.8842024964,21.4548648502,67.5734630538
PCG1-20171211202210.pkl,2.32776966389,4.16863384111,27.1207998553,98.0401918115,27.7157794327,56.7686001935
PCG1-20171211202427.pkl,1.96968482492,1.9453898612,88.592625504,70.2558232155,1.15286047591,32.2042437151
PCG1-20171211202643.pkl,2.22873297693,2.73571898282,2.21291831648,34.4299578623,7.29857530958,84.9631876258
PCG1-20171211202903.pkl,1.69371090588,3.95607645289,66.2093001263,84.7003569949,6.50415604833,89.2533165448
PCG1-20171211203144.pkl,2.61846703119,0.351691836235,72.1238721043,90.0887680551,20.379260069,21.394408263
PCG1-20171211203412.pkl,1.84524745401,4.82053246288,16.0861580585,53.5595106035,8.83206948715,29.5388569287
PCG1-20171211203643.pkl,3.81043683475,1.15680616088,69.3042013893,64.765082431,15.4745565978,5.84037701103
PCG1-20171211203850.pkl,0.0157823306767,2.61341791818,40.9977484694,43.7420462994,3.17323983484,56.7779238913
PCG1-20171211204121.pkl,2.9503029238,2.1576049773,24.8798094551,51.6592678248,15.8719079476,78.4275288319
PCG1-20171211204348.pkl,0.904514189993,3.90532801522,23.7202723688,26.8648490914,22.9687188245,98.0163009289
PCG1-20171211204601.pkl,2.69733469232,3.11466438025,28.7442275662,38.9551625718,2.04597537158,72.7781596092
PCG1-20171211204819.pkl,1.93167371505,1.68743266617,28.6844457014,19.2150091517,26.9563509852,92.7490341033
