file,mu0,gamma0,theta0,theta1,eta0,kappa0
PCG3-20171211201005.pkl,0.815783411018,6.29092588956,0.607392030666,5.85661328023,4.26901877282,11.1605468153
PCG3-20171211201530.pkl,2.99568862123,0.401283435686,0.951184429972,6.69423653407,77.1303360687,46.8542757982
PCG3-20171211201936.pkl,3.57780082432,0.548741909935,0.700623118177,8.05117464572,47.6743996845,15.0346095105
PCG3-20171211202327.pkl,0.563385951462,1.93631392281,0.370309576665,5.58607969552,59.3274825079,4.18697211315
PCG3-20171211202721.pkl,0.158114827925,6.42966061452,0.723931896997,6.11850040234,52.8739534211,52.9196662927
PCG3-20171211203137.pkl,3.42602317206,1.78527740029,0.280025792916,8.6914684876,88.4614323243,11.7431086743
PCG3-20171211203534.pkl,3.82052888672,0.297603894507,0.937950840069,1.03807330262,36.9758667086,38.5208183263
PCG3-20171211203919.pkl,3.25586997572,6.7362622465,0.522118544568,6.03519768071,37.3730739444,90.0199570933
PCG3-20171211204128.pkl,2.18414703876,7.73807948372,0.388989571777,1.14321090155,50.4694019662,42.168915415
PCG3-20171211205421.pkl,3.32306012686,5.56987870311,0.952008171685,9.25065642883,86.4835585557,25.170423884
PCG3-20171211205819.pkl,0.740794543899,0.711865789392,0.243991098375,5.04199813461,36.5015035408,59.9844351705
PCG3-20171211211134.pkl,3.0976217245,1.16215025913,0.520027602238,4.47448481355,95.2988376579,34.0720115926
PCG3-20171211211344.pkl,3.0495203797,5.4264772465,0.161475746629,4.63220795714,37.0178959854,24.6979387713
PCG3-20171211211811.pkl,3.63481277648,5.16861066111,0.539318541717,5.45492325299,21.9779510253,16.142269156
PCG3-20171211212252.pkl,0.583082985416,7.20318954219,0.113457548817,9.8918232647,38.451734357,42.8244996719
PCG3-20171211212500.pkl,1.03454539661,7.28666422937,0.19330066588,0.80244178463,50.7124876069,68.3917383679
PCG3-20171211212911.pkl,3.30934113454,0.911236858051,0.694791226602,7.19198699349,11.3152735732,86.0703272452
PCG3-20171211213656.pkl,2.09850572318,9.40993429091,0.912595112499,4.83917081363,64.5712199945,98.2936491344
PCG3-20171211214115.pkl,3.37001530111,0.532690354922,0.754148031083,3.6105357041,63.9454448639,77.0798896007
PCG3-20171211214330.pkl,1.14629448817,8.12293243596,0.0914266506749,1.20407755515,80.2451328925,19.6454357242
PCG3-20171211214718.pkl,0.0913596625621,9.57819639364,0.32512838025,9.46449594872,13.6401732144,69.7334369617
PCG3-20171211215255.pkl,3.84214893892,2.83238684209,0.836296847966,9.37308881792,56.2180722366,64.2718537859
PCG3-20171211215526.pkl,2.65299678511,4.48953964998,0.543901415961,0.777296268462,70.3873454175,56.3699681863
PCG3-20171211215744.pkl,2.21846535244,9.0062402322,0.132673569843,5.77233762247,84.8498630668,20.8161068107
PCG3-20171211215957.pkl,2.61422288892,9.66406263817,0.0958277403865,9.74485290129,93.5300020311,77.4632061507
PCG3-20171211220215.pkl,3.36530810717,7.19344067094,0.241812066644,5.36709097073,69.6308244425,89.4530175753
PCG3-20171211220655.pkl,0.138378170791,2.38438765921,0.831942326195,1.2894243975,97.9954224558,84.5403805082
PCG3-20171211220910.pkl,1.86723200905,9.50618100525,0.61007675344,2.00651918262,0.849229956861,11.9222025545
PCG3-20171211221249.pkl,3.39446992744,8.17564650161,0.222044730126,9.24660986039,17.5187150877,19.1516878707
PCG3-20171211222117.pkl,0.603793370334,5.30531243296,0.68650134791,6.36482624238,88.0213247613,16.576643273
PCG3-20171211222321.pkl,3.22184612778,9.08331728694,0.42649502805,3.93022768167,14.545952229,26.3217289047
PCG3-20171211222755.pkl,0.785778221264,2.57017255666,0.40658681012,7.64609870137,86.4193704268,42.5951315191
PCG3-20171211223149.pkl,2.31099290442,3.17375849118,0.513813197542,4.35171713344,48.6631773984,44.6804652542
PCG3-20171211224103.pkl,0.358867713666,1.09350334916,0.942085777109,0.213809217118,99.7363228604,7.40636992244
