file,mu0,gamma0,beta0,eta0,kappa0
PCG4-20171211200450.pkl,3.04807596588,7.06297880188,93.2501195324,80.0441509536,24.937928619
PCG4-20171211200734.pkl,2.49032636796,4.6566191455,15.4283395413,80.7136624244,91.1375320259
PCG4-20171211200955.pkl,2.02802397136,2.46241252398,97.5862659878,17.7979502649,38.336178713
PCG4-20171211201222.pkl,1.75053715361,2.8152513136,79.5251676353,35.583572392,4.86045861432
PCG4-20171211201444.pkl,0.818056894072,5.96847816666,25.495593615,64.1675623107,27.8788656361
PCG4-20171211201724.pkl,3.28436566268,4.11888975657,33.7155037842,80.5789793656,11.0054199949
PCG4-20171211202014.pkl,3.68544252751,9.09181227359,70.6171586065,66.6451650918,82.8582485064
PCG4-20171211202251.pkl,2.93558127383,1.63495075163,27.3641854959,64.9332508308,96.9796374508
PCG4-20171211202714.pkl,0.908228817937,1.31843028889,98.8692898509,98.7934770859,96.5338112794
PCG4-20171211202931.pkl,1.1113686623,3.38030162823,14.4920511025,30.4982942159,56.8156689689
PCG4-20171211203209.pkl,3.24893756411,8.26701207356,77.2461342952,47.520754566,97.3207927676
PCG4-20171211204340.pkl,1.67357347007,0.353329051597,58.0733245311,11.4904963871,84.8786942863
PCG4-20171211205620.pkl,3.5851550328,0.371919695732,6.65664509141,13.876237093,6.66102454524
PCG4-20171211210027.pkl,0.208905185206,3.7946663589,9.4103960282,22.4865034718,28.1479167728
PCG4-20171211210312.pkl,1.61217678021,5.67763364609,59.2321904675,96.4227288797,13.1449715784
PCG4-20171211210602.pkl,3.99627297352,6.12533339548,82.5714161714,89.8039295263,78.9334167969
PCG4-20171211211028.pkl,0.722973635455,0.526487261168,36.725587718,96.5227470499,58.8447763942
PCG4-20171211211321.pkl,2.63321356952,3.09445352443,77.3948783661,81.1400425303,15.3681677524
PCG4-20171211211602.pkl,1.3647086128,8.09834450343,31.6458167051,20.4446677782,8.23301478417
PCG4-20171211212006.pkl,1.43220939238,1.02834254755,98.0902688147,34.3435403236,84.8775931621
PCG4-20171211212412.pkl,1.76656420049,0.582736640911,96.9077415229,41.4897281124,10.1940311652
PCG4-20171211212703.pkl,2.56608089526,1.68117106257,32.1186560549,69.7173632283,46.2305657759
PCG4-20171211212950.pkl,3.6502601826,3.29553554978,26.580846895,95.4724508302,15.7675841507
PCG4-20171211213234.pkl,1.07010941503,7.67709233396,46.602898033,94.8607271523,66.4022660124
PCG4-20171211213528.pkl,1.51071377835,4.99540556955,73.9579239879,71.4345501215,92.1835865258
PCG4-20171211213816.pkl,1.79621274625,4.27212448641,5.18801571343,75.6438981583,55.8899927605
PCG4-20171211214100.pkl,1.1655848431,4.53352497938,56.4607476225,85.4241125512,7.65376790183
PCG4-20171211214352.pkl,1.52935146483,6.97024895039,25.4009408733,49.0219767548,43.2830281549
PCG4-20171211214816.pkl,2.86063071421,0.0554009160768,57.5415360737,80.7678909745,30.8511748689
PCG4-20171211215038.pkl,0.530853149105,9.29134125482,94.0133539394,32.4542987044,31.8531964188
PCG4-20171211215502.pkl,0.504698802407,3.23069866851,90.4343979015,75.539172869,86.5723680375
PCG4-20171211220013.pkl,2.74947914978,0.0312724636651,94.4189061454,91.7807402023,48.8799152028
PCG4-20171211220303.pkl,1.53558704904,5.13112179556,54.6105094619,38.6459927903,24.4546009993
PCG4-20171211220711.pkl,0.567027403751,6.16544391514,61.1825413623,42.9380560838,88.0986681344
PCG4-20171211220956.pkl,3.5971584899,6.72436215947,41.7410130658,99.2578851885,35.9683456912
PCG4-20171211221238.pkl,1.70738982018,7.69184522096,90.8799646982,45.7328312666,65.075664419
PCG4-20171211221544.pkl,1.89378078313,7.97355361587,52.268837783,93.5134846128,52.7386905304
PCG4-20171211221827.pkl,1.13355326103,6.41937294592,88.4595441911,50.8643554586,47.1970028153
PCG4-20171211222240.pkl,0.385488369275,5.01285524413,66.4232386269,66.5457762439,44.5629333114
PCG4-20171211222514.pkl,3.34737057966,7.30166010938,71.9852133784,10.4270474326,15.475125116
PCG4-20171211223426.pkl,1.20017090057,2.19197936734,49.1060550219,86.1814632398,57.6842635069
PCG4-20171211223713.pkl,1.13532711679,8.40405879604,74.0540625511,77.3200920965,74.9247298363
PCG4-20171211224157.pkl,3.165238387,0.273819562452,28.6927235953,0.697290448107,44.1531699004
PCG4-20171211225459.pkl,2.86326039581,0.23175983406,69.8516821994,11.6402774861,92.0173915018
PCG4-20171211225917.pkl,0.552670757298,1.23314356956,39.7533096653,62.1039962094,84.6557865361
