file,mu0,gamma0,beta0,eta0,kappa0,scale0
PCG4a-20180126160256.pkl,0.600575285836,0.014004223565,98.2156128001,26.7245228274,63.4855519934,2.66847176232
PCG4a-20180126160921.pkl,0.411317140006,0.569515199301,42.6399251101,69.3302788798,84.3577500397,2.03329523144
PCG4a-20180126161205.pkl,2.85450773463,3.82475821045,66.9788864271,24.9775143027,23.8085420085,0.29191712823
PCG4a-20180126161600.pkl,0.495860842858,8.26897076586,48.8741196854,88.1967703862,60.5653373463,1.65149736242
PCG4a-20180126161927.pkl,3.03828163945,2.37655426794,38.6912711358,51.8465813724,66.3681619865,2.30182180585
PCG4a-20180126162427.pkl,1.66925880482,3.95890171385,86.6949595617,87.6891294366,15.3856076812,0.60988436901
PCG4a-20180126163311.pkl,0.431942104916,6.60641523281,32.5515919561,40.3553184715,79.4849633329,0.90020904757
PCG4a-20180126163810.pkl,3.28374119126,2.23944214849,80.1132492943,19.8058606379,77.2921109516,0.757156415666
PCG4a-20180126164311.pkl,2.06518108118,8.69900425089,24.3917183894,10.1245301014,9.65612494406,0.455552893738
PCG4a-20180126165905.pkl,0.540766633468,0.204501738189,36.964780882,94.0224774338,15.1230042732,0.507890951448
PCG4a-20180126170211.pkl,1.19513190946,6.54439098105,20.8209263,24.4817823102,9.88288043695,2.65914806684
PCG4a-20180126170640.pkl,3.41189723174,2.66219816343,46.3203964429,14.049257065,58.7301112627,2.03669145935
PCG4a-20180126171540.pkl,1.41023371003,0.205411476724,57.5622091786,21.0095597243,93.1494564199,2.16404978307
PCG4a-20180126172044.pkl,2.69126286019,8.30737958674,45.364797731,99.7516332505,28.3461439376,2.46251872183
PCG4a-20180126172440.pkl,1.49525849724,8.20506291195,49.3778111563,45.2283729349,3.1610224749,0.537039308372
PCG4a-20180126172930.pkl,1.78548153249,8.04904177068,22.3906885724,11.9682056903,75.6416926358,0.166560612789
PCG4a-20180126173437.pkl,0.663041547515,5.91940772974,86.233500028,93.5905217696,71.9435246876,1.75686399021
PCG4a-20180126174003.pkl,3.00675563917,2.95815963767,58.9053329966,62.0552052688,10.3481139874,1.14187511946
PCG4a-20180126174349.pkl,3.85374879226,8.33920696587,10.1116452093,40.398682458,97.8659602825,1.62428874978
