file,mu0,gamma0,beta0,eta0,kappa0,lambda0,scale0
PCG5a-20180108194634.pkl,1.01071659136,4.44611355584,40.1148730461,62.587899948,18.4151783287,24.4375569903,3.24076974019
PCG5a-20180108214001.pkl,1.5506197421,4.31329570253,62.76537454,2.37921885677,7.88847149125,74.7349202813,9.7246040924
PCG5a-20180108214719.pkl,2.05263531446,3.93317366432,15.7111924401,54.7082911701,7.56428760717,53.3072114499,1.51027951247
PCG5a-20180108222800.pkl,0.712174832337,0.756901881298,62.2187000639,34.5954896906,78.9407939693,90.0453000429,8.85262265001
PCG5a-20180108223726.pkl,2.31154204652,5.29706897693,43.2539299142,50.270651061,90.6184243962,71.9619933352,7.64317450504
PCG5a-20180108224508.pkl,3.75583931779,6.98542496452,34.0420224973,2.72404591909,39.9854720922,37.1531666027,3.93829059031
PCG5a-20180108225325.pkl,2.86649369161,4.96247573782,27.0381810838,18.1831012253,60.8257696201,34.3188388888,8.59331014424
PCG5a-20180108225711.pkl,2.03204782035,4.66439647692,12.2104759947,6.42258304576,51.1932641581,74.0496075675,8.48330663028
PCG5a-20180108231205.pkl,3.52117380799,5.11422080238,46.6375671555,32.2408381858,74.1268760554,48.1341569977,6.57383685893
PCG5a-20180108234240.pkl,2.58350293221,3.1195953485,94.3963465535,1.83193847217,83.0441848948,41.8735529868,6.95944963568
PCG5a-20180108235716.pkl,1.58865944172,7.28834712408,59.275125858,21.3424190233,39.1478989905,97.7936470919,7.08188495603
PCG5a-20180109001143.pkl,3.52502819012,8.46243958918,79.4377049534,68.7350814329,24.1685018676,22.9085579377,8.121512135
PCG5a-20180109001950.pkl,2.60622654449,9.09482885511,50.1855864301,1.99229664011,88.9246644752,50.9051900992,4.47348276287
PCG5a-20180109002720.pkl,1.94297646058,4.76584023769,25.7951265491,60.0172015702,5.33666248634,39.9873221076,8.45101026375
PCG5a-20180109005733.pkl,0.810502027892,4.39252067851,85.7652898306,48.8255074801,3.36232184349,61.427237815,6.89380367547
PCG5a-20180109010455.pkl,3.89493360379,9.40400094082,30.4652853107,40.6169846872,78.636014095,5.60675109182,1.76578720994
PCG5a-20180109011842.pkl,0.955244714643,2.39496885687,16.0274433454,1.13887205123,57.8040052201,52.6866196221,9.36472704568
PCG5a-20180109013416.pkl,1.35086759818,2.28101200317,30.6424232912,71.0441928433,8.62815264826,79.6599351581,3.50446085676
PCG5a-20180109020712.pkl,3.45853884149,3.51192960731,89.0062199162,59.4981340039,63.3526923467,53.7242030764,6.56569366166
PCG5a-20180109022245.pkl,1.33114515094,7.41238213983,80.2896196535,90.9402584803,62.7466798543,52.7099143084,4.33281703054
PCG5a-20180109023749.pkl,2.35292651313,7.77383404218,56.2967586554,47.5186911933,9.33585023884,69.7122845453,2.37184279385
PCG5a-20180109030928.pkl,3.95843662236,4.01680652541,78.2536546327,36.4855649035,73.5175758442,78.1230787512,3.86387891395
PCG5a-20180109032442.pkl,3.62695979496,7.52818446234,64.6625533245,20.1604745674,92.6579797779,30.1650817026,3.13425169725
PCG5a-20180109044420.pkl,3.62346245639,0.647216833856,58.7783497689,35.8643316066,79.4375973683,36.1023480595,1.78534075933
PCG5a-20180109051741.pkl,3.14793271305,3.07964978602,71.266644799,96.2872940452,97.0132441,14.1348992489,9.94566520214
PCG5a-20180109061812.pkl,3.92180227601,1.99193739222,94.9739933768,4.83093331489,5.95482777531,35.7001357506,5.08355751056
PCG5a-20180109063532.pkl,2.47620824132,6.0931232349,73.2846735795,32.9234411809,43.2309363822,88.2553127616,2.22972916636
PCG5a-20180109072732.pkl,0.761221324892,2.1814082627,69.8432128567,29.3925990349,77.6714724583,38.4367953544,9.37037894877
PCG5a-20180109074355.pkl,1.21114668544,7.38815199428,53.1940153725,36.9576076158,57.5456789753,25.6047688358,2.4159794191
