file,mu0,gamma0,alpha0,beta0,eta0,kappa0,kappa1
PG1PC1PC2-20180108193635.pkl,3.61046544152,26.6636626618,73.8834104754,24.2113581393,18.0400769264,23.1024722082,28.4028389559
PG1PC1PC2-20180108194014.pkl,0.403280990179,19.0978557223,23.9346284516,94.8242892581,13.5625035662,95.1017335717,25.3254046191
PG1PC1PC2-20180108194435.pkl,3.49137586299,12.6791611407,73.6543525705,37.5023538239,15.5188485585,18.4155902172,5.70867189994
PG1PC1PC2-20180108194900.pkl,1.00522017664,6.44865812207,30.9685150171,84.3277301529,26.3895157845,77.2944035165,96.35437655
PG1PC1PC2-20180108195338.pkl,1.18244808224,27.4651853611,35.1256219058,27.701850849,15.3563158571,15.2488455628,48.8980585595
PG1PC1PC2-20180108195753.pkl,0.645935983368,11.5448984826,44.1447914795,29.9475729117,2.1483029206,88.0717972564,86.8418287952
PG1PC1PC2-20180108200222.pkl,3.4261910136,3.04209853178,35.9993408307,12.1568972263,15.2028409254,69.5005369794,26.5061145146
PG1PC1PC2-20180108200558.pkl,2.70691443206,9.7214862004,93.5639073876,45.0832246768,3.82957215116,79.4531854325,66.5433757895
PG1PC1PC2-20180108200937.pkl,1.82804239481,25.718989325,39.4093329274,6.1802516029,10.1851481055,84.0925631885,48.5734265654
PG1PC1PC2-20180108201329.pkl,1.98398535742,12.8370456444,63.4142114283,52.1845981161,18.5090354078,31.0531688977,48.5098175891
PG1PC1PC2-20180108201724.pkl,3.92602197552,16.1748193634,40.8570008862,32.0480420549,11.5336084465,89.1699113233,34.9479092871
PG1PC1PC2-20180108202109.pkl,1.7483286525,22.2116405649,90.5986407966,14.5634798027,8.13910282473,23.6643647195,16.694049489
PG1PC1PC2-20180108202533.pkl,1.05878804754,5.20854737895,14.4578075085,86.3396031733,5.22190414801,50.8492655907,88.3365332994
PG1PC1PC2-20180108202943.pkl,3.83574164,22.6485068423,9.56068914077,93.5744836969,12.9097945938,4.9809207658,56.6383645235
PG1PC1PC2-20180108203308.pkl,3.86780739116,24.256447192,88.6687450124,55.5849573641,1.44974283656,2.96831694565,65.7552248455
PG1PC1PC2-20180108203649.pkl,0.229355702098,3.09512773308,29.9019829894,88.4083405033,10.9511281332,24.4211530183,50.7474975562
PG1PC1PC2-20180108204018.pkl,0.207069665607,7.54400710628,24.9494909519,93.2938189878,21.776233261,88.7252650221,45.9925601413
PG1PC1PC2-20180108204408.pkl,3.21132408045,26.8206906616,72.2267789182,87.2655252416,8.21520296879,35.2030417263,38.1570903507
PG1PC1PC2-20180108204751.pkl,2.47027863567,4.0602697158,42.8647697169,63.2328701477,28.3707122309,51.7528024609,52.2470233751
PG1PC1PC2-20180108205138.pkl,3.63370245582,24.642347162,85.2143688396,27.2739066303,17.5659510146,41.1447021425,59.8476671419
PG1PC1PC2-20180108205528.pkl,1.85344406081,6.64330084962,52.4738719046,32.1842628617,8.97825062417,57.9961978939,26.1433493153
PG1PC1PC2-20180108205854.pkl,0.20207858846,27.0489983017,68.7896342373,14.9240628131,6.46818921119,78.5034560691,67.3767245822
PG1PC1PC2-20180108210238.pkl,3.0934765512,13.8929875057,21.2431512354,89.993779471,9.12246538718,34.7367573121,44.1098919723
PG1PC1PC2-20180108210610.pkl,2.62638348568,12.2479212562,64.2539081216,60.9211855086,12.5131595416,38.8484494146,30.5244571006
PG1PC1PC2-20180108211029.pkl,3.53498178984,21.0674422147,7.08609132253,95.8125057889,10.5695922988,3.79532527584,51.8176490339
PG1PC1PC2-20180108211439.pkl,1.96980534608,14.663093702,57.9507744056,92.4867663537,21.2608006318,27.8667683352,43.1566308035
PG1PC1PC2-20180108211833.pkl,0.899079648873,21.17957668,87.2678425112,80.4296126122,12.9495205821,53.0213929946,47.39429815
PG1PC1PC2-20180108212237.pkl,2.14740940829,21.0688507211,96.0698881597,68.7987423786,7.74451564786,95.709600936,17.8154974442
PG1PC1PC2-20180108212648.pkl,0.86740691586,7.95018295042,4.72992512776,10.3875041643,22.5245904727,75.2184976731,6.76160466806
PG1PC1PC2-20180108213054.pkl,0.343026225457,28.6688253547,39.4187132471,14.7476851941,27.3092214047,77.0099721872,33.3447339809
PG1PC1PC2-20180108213447.pkl,2.48637904543,25.1365741538,99.3933324564,58.6413629907,3.17464161351,17.0199590733,5.15602960874
PG1PC1PC2-20180108213839.pkl,3.30281555675,14.1673845266,35.0186961833,27.0766374316,16.2912938807,79.1934772515,20.8799058546
PG1PC1PC2-20180108214243.pkl,3.03526790373,28.0658672245,84.5604853995,63.679594966,27.8612472132,87.7648048623,49.6966266517
PG1PC1PC2-20180108214628.pkl,0.516343190463,15.0596712892,11.5378801966,10.3361820619,19.53406533,58.9543331865,67.5376763977
PG1PC1PC2-20180108215025.pkl,1.12836562127,26.0302756324,63.1605252022,46.9775909082,2.45209346018,1.20130841862,51.8302371418
PG1PC1PC2-20180108215353.pkl,0.0615765757538,9.33354301166,56.8114679648,12.4568469216,7.31098475636,5.50065569635,82.3167498683
PG1PC1PC2-20180108215744.pkl,2.20516035928,5.81556631312,52.7674895289,92.8213746114,27.7191011806,35.3556713205,24.4989908412
PG1PC1PC2-20180108220143.pkl,0.698451862823,27.9264979124,95.5245369581,81.3433261305,15.5663925151,72.2354190026,79.2973051417
PG1PC1PC2-20180108220538.pkl,0.701213515674,10.0072623292,78.9500488775,97.2986636936,5.16411991283,58.4238681325,67.7832080527
PG1PC1PC2-20180108221010.pkl,2.76834495034,7.84566647009,11.5415045902,39.3965378558,27.5189420721,95.3106860379,97.1160206839
PG1PC1PC2-20180108221459.pkl,3.32737776938,14.0844009563,52.4919601657,50.3059635676,15.5445456221,29.5322815173,88.5223812191
PG1PC1PC2-20180108221955.pkl,0.51544667438,25.1600532701,4.06400189279,58.8694803423,14.0568233176,81.5112569499,60.9565642222
PG1PC1PC2-20180108222437.pkl,1.86130262585,21.3082175907,80.2834077932,48.7980281522,22.2292431405,88.6786307079,95.13276015
PG1PC1PC2-20180108222928.pkl,3.97372899817,13.1827009014,38.9132071584,76.4903262277,0.601610697879,4.10547695417,68.8364642808
PG1PC1PC2-20180108223334.pkl,0.446381237072,25.9710208598,98.0783011834,20.315505766,9.6197583085,27.0091875265,92.2409209786
PG1PC1PC2-20180108223752.pkl,0.745673063219,11.7462177166,46.6034225837,56.8287549246,5.09890996502,19.4164947406,32.8550923954
PG1PC1PC2-20180108224138.pkl,0.364779971902,15.8122849182,82.4893671556,63.7812517638,20.4789945874,93.7019596856,58.153963934
PG1PC1PC2-20180108224540.pkl,2.94753792602,3.2611748543,79.4454317979,40.2960820675,17.1465284274,23.4634216908,22.7834220111
PG1PC1PC2-20180108225010.pkl,2.91137668984,13.7451444878,6.35498563357,19.9605436253,19.2807290114,70.4373323832,28.4938833279
PG1PC1PC2-20180108225347.pkl,1.58003460128,28.5461794662,17.9431930686,13.6529171246,4.42349130243,97.6804698032,45.141356864
PG1PC1PC2-20180108225831.pkl,3.51035609453,19.5766793135,84.3903864783,56.5117368889,7.68102209077,87.2559476419,21.8989598182
