file,mu0,gamma0,alpha0,beta0,eta0,kappa0,scale0
PG1PC2a-20171226012157.pkl,3.92120759697,6.25024584139,94.4328963502,68.3025040998,6.61567977298,13.1087129976,0.508162799822
PG1PC2a-20171226012434.pkl,0.974347937417,29.6762551636,91.5278848645,32.1506700549,3.04864774562,33.0150269715,0.491158703095
PG1PC2a-20171226012700.pkl,0.845000890566,17.5487247543,20.9521861987,25.0981889396,6.18754767305,86.2832455442,0.323488108435
PG1PC2a-20171226012926.pkl,3.94923713552,7.96947238805,51.865262453,42.0509111603,4.60359397531,62.9721628535,0.955690969949
PG1PC2a-20171226013203.pkl,0.476658592911,27.0695087835,9.45241875168,15.6415152521,7.2108469628,77.0841509725,0.576735590131
PG1PC2a-20171226013433.pkl,3.146938706,1.72426863418,81.161085723,71.1112397443,1.33842175066,8.94574760075,0.891331786958
PG1PC2a-20171226013708.pkl,3.23948839644,21.3609687341,62.3766217604,92.9891396903,8.73872767321,29.5522403717,0.183403595192
PG1PC2a-20171226013946.pkl,1.06007435439,7.49293323035,3.48765768152,75.8297578026,7.24179086098,64.2083225051,0.42653193171
PG1PC2a-20171226014236.pkl,2.73857752923,10.1197907694,32.8454243362,89.9740390897,1.63804434386,47.7938028296,0.07600655252
PG1PC2a-20171226014511.pkl,2.91972933172,13.3967240254,34.8220884088,53.5387020314,3.49770622029,38.5896167912,0.261754943296
PG1PC2a-20171226014743.pkl,1.80771151163,0.733093129935,99.7801735774,25.4895884964,8.38165846645,98.1958632971,0.787422191567
PG1PC2a-20171226015008.pkl,0.00946843006065,21.8231014328,84.3891076177,15.3096663384,3.32611779198,11.7085812228,0.149686571317
PG1PC2a-20171226015243.pkl,1.58032015727,12.0332369861,26.0651881819,85.4127531625,3.25970837454,2.75878364663,0.383903050694
PG1PC2a-20171226015523.pkl,3.54519590617,4.87685272255,80.1475750799,69.4967304377,5.13695838132,22.0102050498,0.310018045857
PG1PC2a-20171226015800.pkl,2.7365485427,8.82922439508,35.845443913,42.8837605675,3.50683350582,89.1144717691,0.612898270312
PG1PC2a-20171226020036.pkl,0.147844853218,10.4227409214,4.08549861817,24.5295009472,9.77828271541,59.7297420702,0.658017552823
PG1PC2a-20171226020305.pkl,0.327358716975,2.21003652819,47.8882816024,48.3716167068,7.20572159198,37.9032511115,0.953771670347
PG1PC2a-20171226020523.pkl,0.416940503401,12.5873859571,48.856860727,26.2779763615,6.79185489667,98.4664584816,0.104249280474
PG1PC2a-20171226020741.pkl,1.18281765452,3.3069533451,87.8246823176,33.9686388862,8.18796738739,41.151255623,0.542061133469
PG1PC2a-20171226021021.pkl,2.0722697311,19.1100941184,40.6596490607,77.3010570692,2.20526613353,61.7570185683,0.653890034597
PG1PC2a-20171226021302.pkl,2.57681243183,12.2131429408,65.1006121928,22.4985825381,3.36339256795,94.432609931,0.37294331271
PG1PC2a-20171226021535.pkl,2.92725851401,0.891173052494,88.1249400018,16.7238394771,3.97518136982,3.69692296523,0.985311221139
PG1PC2a-20171226021808.pkl,2.18640294656,1.02099696688,38.7405091916,6.51170597357,8.3428715429,27.0992443256,0.70053875505
PG1PC2a-20171226022041.pkl,3.33460748245,20.8296817665,17.7075331204,4.61768166712,9.63269235065,49.627829844,0.46467700815
PG1PC2a-20171226022309.pkl,2.16074600681,4.03911934846,58.8998396148,91.185654456,5.46363922667,92.3157613354,0.0353031910892
PG1PC2a-20171226022657.pkl,1.23653008587,4.19800428757,71.4953402197,4.73876669747,1.65074946441,53.2325559785,0.0306887012156
PG1PC2a-20171226022937.pkl,0.965624787413,9.51699696119,21.1968240981,49.1846520662,3.78584263267,24.3086922692,0.971028260118
PG1PC2a-20171226023241.pkl,3.31422991613,18.2719151252,37.8092402861,85.0828604238,0.751178937821,96.3330600336,0.318235048281
PG1PC2a-20171226023456.pkl,1.16750302011,6.38297544436,78.1011661672,13.9056655311,3.33382704947,23.2539286442,0.739661798681
PG1PC2a-20171226023725.pkl,0.717524877644,7.35854805424,78.7734247238,62.6320060777,0.318377593263,54.531909274,0.878963598334
PG1PC2a-20171226023954.pkl,3.99139341238,24.0427935996,58.1733956395,96.242900061,9.64182424293,93.2465864081,0.250493312725
PG1PC2a-20171226024219.pkl,0.427894818734,22.5346630679,32.4845206456,23.2910901471,3.39183138456,56.3462145552,0.573715975195
PG1PC2a-20171226024459.pkl,1.35303839051,17.0392869065,29.9688496741,92.2963777805,9.62089316603,9.01657399918,0.608740214563
PG1PC2a-20171226024739.pkl,2.77762254626,17.8072406698,32.4383108891,51.4768821563,5.63790045359,30.4726917751,0.837280829911
