file,mu0,gamma0,theta0,theta1,eta0,kappa0,kappa1
PG3PC1PC2-20180108193642.pkl,1.84007315154,22.3453595013,0.644304981259,4.28994811684,78.2549608464,20.9437913124,23.1035067466
PG3PC1PC2-20180108194330.pkl,0.130391637461,11.1854652092,0.726428789881,6.47844678828,43.5405739951,29.5305725682,84.224423241
PG3PC1PC2-20180108194752.pkl,2.22209671579,23.1719887649,0.996965429599,1.49192742785,2.67661402774,45.9442523316,96.5556733068
PG3PC1PC2-20180108195206.pkl,2.37334975521,4.89431537918,0.541113931103,1.1513154135,44.3821292441,59.7051142105,96.9496665665
PG3PC1PC2-20180108195627.pkl,0.698929089398,17.73072888,0.146485972461,8.73666358576,44.2332110115,5.63802095964,42.1105436705
PG3PC1PC2-20180108200353.pkl,3.97886359465,3.59348407089,0.28948654126,7.66929630902,50.4762480239,28.3252864048,46.1699353337
PG3PC1PC2-20180108201140.pkl,1.32096853601,1.82479538737,0.509984628345,4.88540352901,80.5968972822,10.1174555277,16.4855401293
PG3PC1PC2-20180108201857.pkl,1.54652063971,2.47234403074,0.17733464811,9.73206189691,42.867226421,41.9936886023,4.75954283664
PG3PC1PC2-20180108204136.pkl,0.620944066565,23.6554707679,0.653415591821,7.45470914935,63.7789008003,6.91205482103,81.7092616404
PG3PC1PC2-20180108204756.pkl,3.24618784077,2.71806031129,0.0548445577035,2.90424489856,84.4718929434,29.8571418327,11.9865032024
PG3PC1PC2-20180108205143.pkl,1.75632765141,24.384387633,0.373476264979,3.91098880684,47.8756252099,61.332394452,88.9797757927
PG3PC1PC2-20180108210542.pkl,2.39135171754,7.90506725965,0.555964731602,3.36140725931,82.7716747278,99.9723676635,40.5597482939
PG3PC1PC2-20180108211257.pkl,0.831180097648,4.06348571191,0.936400433346,1.4496904118,44.0492853055,74.8367095482,95.6555968087
PG3PC1PC2-20180108212347.pkl,0.888723885682,18.6469579081,0.514231830145,3.53484382331,22.6458401742,84.6423026771,43.7266537392
