file,mu0,gamma0,beta0,eta0
PG4-20171210152110.pkl,0.293024237995,0.0467513910068,24.4096640057,16.0750873369
PG4-20171210152219.pkl,2.91893690351,1.75349736853,99.3524835209,1.79368677168
PG4-20171210152530.pkl,0.714881323421,3.73855556573,60.7251461506,59.7288813516
PG4-20171210152724.pkl,2.63827088703,0.491985263217,94.08337679,75.660747006
PG4-20171210152832.pkl,3.39507923447,3.84352842699,82.7605041701,27.9166370792
PG4-20171210153050.pkl,2.45993105127,0.846435615478,95.8455354281,22.56022561
PG4-20171210153154.pkl,1.81139542732,2.60074846275,6.2070669801,29.5750032149
PG4-20171210153347.pkl,0.267610117782,2.31756145009,67.5202672756,54.2018881604
PG4-20171210153456.pkl,0.957478289389,3.31385454203,64.7762150233,98.5285744314
PG4-20171210153603.pkl,3.92351380189,3.14399797015,2.07185486441,25.7412255401
PG4-20171210153827.pkl,1.48335835947,0.466279052015,96.8451777096,23.0193237983
PG4-20171210153936.pkl,3.15230847593,3.41685072062,55.0933303525,18.2229988898
PG4-20171210154043.pkl,1.07735063989,3.51786921296,36.0676351557,62.09436147
PG4-20171210154229.pkl,1.13707611824,2.91848473609,2.21204682698,68.2758238501
PG4-20171210154334.pkl,1.04323777544,4.6742375155,79.4763294025,37.6223160063
PG4-20171210154533.pkl,2.01546395208,0.0751757328467,80.8647293604,70.9902112132
PG4-20171210154719.pkl,1.21421517406,0.414534865389,15.983857665,42.3289705755
PG4-20171210155014.pkl,0.790197097242,0.0398300548302,94.9172033853,41.8128790873
PG4-20171210155127.pkl,3.81212414155,1.45975098768,89.4573651437,67.8438684063
PG4-20171210155317.pkl,0.244857169838,1.4394481025,35.3585924517,40.5763430829
PG4-20171210155420.pkl,1.60674550998,2.18190554078,64.7086524886,37.9296404797
PG4-20171210155605.pkl,3.0469783092,0.152324973797,74.9606421444,23.3180924112
PG4-20171210155720.pkl,2.7401200832,1.84293407284,14.0748773297,88.0164710165
PG4-20171210160113.pkl,0.831134589685,2.18602869887,39.4781237774,52.590794479
PG4-20171210160317.pkl,0.346574435976,1.12646645805,56.972875727,89.6503997543
PG4-20171210160507.pkl,2.88539310719,0.173697783547,77.4955532238,54.5296940443
PG4-20171210160617.pkl,3.14994656362,4.38415449343,33.6567075933,38.6288457146
PG4-20171210160723.pkl,3.72941791022,4.84605854774,74.3627298068,15.7886967632
PG4-20171210160832.pkl,1.60059334204,2.94538696562,34.3189490441,50.3797437909
PG4-20171210161044.pkl,0.682380732183,2.15194640037,11.6980165691,22.5135841552
PG4-20171210161159.pkl,2.13514058426,4.41326958924,78.4462716144,48.943181752
PG4-20171210161307.pkl,2.4993499594,1.80185785534,18.2347468712,15.6200244176
PG4-20171210161410.pkl,3.28887595975,1.5297521359,94.8227961542,14.9853674206
PG4-20171210161521.pkl,2.57407577183,1.53999156059,69.465157016,75.3873536207
PG4-20171210162029.pkl,0.966539220298,2.14411387259,29.6684756167,33.6999731847
PG4-20171210162139.pkl,3.70876511846,1.16639531914,14.0622457767,69.548504027
PG4-20171210162533.pkl,1.08438588853,3.04346065306,38.8512254096,2.14765350425
PG4-20171210162717.pkl,1.40266060463,0.583699224743,18.882235658,38.4816280511
PG4-20171210162822.pkl,1.12710248935,4.38602124318,62.5162460157,21.7395321689
PG4-20171210163015.pkl,0.3871692167,4.19837409494,22.0364333594,60.2341612166
PG4-20171210163124.pkl,2.3086087926,4.21634500468,72.8662104775,39.2987125465
PG4-20171210163239.pkl,3.36673109726,4.53669188215,50.9356126176,96.5983228965
PG4-20171210163353.pkl,3.90889033908,4.8587076587,45.3740146384,69.7329101916
PG4-20171210163549.pkl,2.26363642811,0.940102805442,88.101627309,5.31549380704
PG4-20171210163659.pkl,2.95247005129,2.17039293337,65.89063013,83.2653172907
PG4-20171210163811.pkl,3.13723028273,2.70059408028,80.8843934608,32.6598809223
PG4-20171210164054.pkl,0.919992269299,0.378470110005,12.2420524024,79.2468766899
PG4-20171210164247.pkl,0.40148539602,3.40596242962,64.4981679063,57.3674013458
PG4-20171210164355.pkl,2.63021059267,4.69716914106,91.6940081498,13.2048427741
PG4-20171210164504.pkl,3.55705864463,1.61268632906,37.0025977331,10.7841383955
PG4-20171210164618.pkl,3.75773325292,3.87036719528,19.0279413192,75.2364079847
PG4-20171210164725.pkl,1.50074710527,3.44338075663,50.5165972876,54.0026242686
PG4-20171210165131.pkl,2.56829962059,1.84275651795,62.6993800507,78.7428544905
PG4-20171210165236.pkl,1.52824745163,4.4239391738,5.60076636032,12.1513303904
PG4-20171210165350.pkl,3.89514046191,1.17286261736,18.5032044549,77.7059134799
PG4-20171210165458.pkl,3.00263994305,4.48666298491,15.9963812349,13.9481408179
PG4-20171210165657.pkl,0.770017597575,1.45029100335,98.1633621985,94.1775846935
PG4-20171210165810.pkl,3.95908164166,3.66477909339,30.7791029704,5.52984616466
PG4-20171210165910.pkl,1.11233147961,4.2237057837,29.5406833147,18.5517853658
PG4-20171210170058.pkl,0.0806633948248,2.78671145691,40.1527447765,18.979895403
PG4-20171210170245.pkl,2.55070377603,0.756441922603,56.7704288341,46.6749925712
PG4-20171210170400.pkl,2.3875542161,4.76180149297,35.8811189865,86.395500697
PG4-20171210170603.pkl,0.382622825998,1.34303105289,30.247338237,98.796382237
PG4-20171210170717.pkl,2.51357748438,4.65591082033,58.8836770708,97.0130430904
PG4-20171210170918.pkl,0.981152660321,0.523373717669,96.7124111722,82.5075622634
PG4-20171210171234.pkl,1.52596041491,1.6937292124,24.109327914,74.822671308
PG4-20171210171345.pkl,0.897128678485,4.09105331913,47.1384371232,98.0280619591
PG4-20171210171455.pkl,3.13500003243,3.59749312367,47.8963771725,45.3886153739
PG4-20171210171651.pkl,2.28575653443,0.32989981026,56.1294479986,77.011030214
PG4-20171210171803.pkl,2.96223783834,4.5686348403,77.2464185191,71.6343774131
PG4-20171210171952.pkl,0.189912445908,0.118297589385,93.5760945185,33.0362037806
