file,mu0,gamma0,beta0,eta0,kappa0,kappa1
PG4PC1PC2-20180108193744.pkl,1.00295272404,15.7769948118,59.5316424762,38.3127482283,66.773912127,51.7538457139
PG4PC1PC2-20180108194226.pkl,0.580366864722,23.9077685969,80.3554367825,82.442374403,79.549531366,24.814731219
PG4PC1PC2-20180108194725.pkl,0.994054815645,15.0448121508,18.2727131793,4.70981654065,18.9477686577,37.8986385549
PG4PC1PC2-20180108195509.pkl,0.607777052293,3.49137335543,28.6320698274,11.0927216096,99.0239122022,27.9006596719
PG4PC1PC2-20180108200314.pkl,0.435780204942,3.72315327645,12.9794059295,64.4624456952,8.09370665077,62.8522930906
PG4PC1PC2-20180108200807.pkl,2.06824611223,18.7950925531,60.6834446655,58.2162588216,78.496031457,22.2713920428
PG4PC1PC2-20180108201533.pkl,0.0642728366267,16.43025752,83.1359008654,49.9438006752,7.08239612421,32.1022686816
PG4PC1PC2-20180108202004.pkl,2.03069100831,1.61881397175,99.8337001651,24.4451963415,7.0377889109,31.5868360573
PG4PC1PC2-20180108202555.pkl,1.58956651861,28.8400037226,97.1928735799,62.1228900749,5.4604592174,49.2836010976
PG4PC1PC2-20180108203107.pkl,2.62339973829,23.2668129005,39.3388178216,71.7179749449,46.6129574537,8.7572287892
PG4PC1PC2-20180108203550.pkl,1.14736188996,29.9414652324,38.9694540825,68.9956697388,26.7913660287,41.0633893029
PG4PC1PC2-20180108204041.pkl,2.87049435325,24.3168400755,97.06931826,23.9563315249,26.6437698732,56.8584135832
PG4PC1PC2-20180108204527.pkl,0.520105991097,23.0481034281,53.5415930707,76.0897428181,91.5296124034,79.8667734305
PG4PC1PC2-20180108204958.pkl,0.551283907376,13.5742419572,62.9583009951,31.534020376,21.6444565118,15.6434304645
PG4PC1PC2-20180108205536.pkl,3.29913225816,28.4281165403,94.6230838424,67.5102122165,96.9594371928,13.7432760177
PG4PC1PC2-20180108210054.pkl,3.09236472822,27.1918268121,6.85824131085,65.8446000875,13.5947012998,51.8318836133
PG4PC1PC2-20180108210524.pkl,1.0271592014,22.0809586035,12.7694077217,52.7703547357,58.248075983,70.4913834396
PG4PC1PC2-20180108210950.pkl,1.22297902795,7.43416485337,74.1135698066,36.2890080058,29.0416687996,88.3162413633
PG4PC1PC2-20180108211423.pkl,1.06007517066,1.13103051539,23.8819290385,9.57456763683,45.7611364715,66.5832461619
PG4PC1PC2-20180108211909.pkl,3.83372880479,1.79943561493,28.9201253798,48.3263877435,86.4344053611,2.91507164113
PG4PC1PC2-20180108212314.pkl,3.75080114909,4.82251560508,54.9765186156,33.8838760633,42.3206820899,39.9772197667
PG4PC1PC2-20180108212821.pkl,3.19009089571,18.1649953982,58.9388046837,86.98980892,99.5268345592,54.4843462028
PG4PC1PC2-20180108213252.pkl,2.26005050571,6.77503310658,92.0851557615,6.10730500022,44.1126288689,85.6958579829
PG4PC1PC2-20180108213747.pkl,0.658638935285,21.1626378893,2.78040912312,80.8717556577,23.0596328712,85.33561814
PG4PC1PC2-20180108214250.pkl,3.99240875856,12.1097099389,73.1523502064,72.8189004137,90.4809497548,98.1260362604
PG4PC1PC2-20180108214745.pkl,3.69050616677,17.3205352189,60.4673327477,2.14124272225,37.8119919712,99.0902704881
PG4PC1PC2-20180108215154.pkl,0.863360644777,11.5560022487,1.03104660909,57.5851216744,6.81111639305,3.54399654304
PG4PC1PC2-20180108215640.pkl,2.63779929385,3.78403632829,95.1720544238,52.3338848216,94.7791417171,62.5196674102
PG4PC1PC2-20180108220441.pkl,0.050583834054,11.1443988127,96.6364764412,81.4141179102,56.7826633243,69.0964817086
PG4PC1PC2-20180108221015.pkl,1.64004055399,22.2241839698,83.8609288453,8.66361641921,38.8994363336,86.100645576
PG4PC1PC2-20180108221530.pkl,3.94663527916,1.56800316147,70.9671801845,78.4328973656,26.8464922885,72.0075055778
PG4PC1PC2-20180108222105.pkl,2.98289503042,4.67834932689,88.4408694077,80.7134118999,75.79244866,23.0879821282
PG4PC1PC2-20180108222635.pkl,3.0680169865,14.7506362322,67.693152599,1.09723098869,93.0775468841,36.5979469182
PG4PC1PC2-20180108223136.pkl,2.27161104421,6.81921381297,70.0358455793,1.58337276962,50.2197191043,12.3557338912
PG4PC1PC2-20180108223723.pkl,0.81776789706,19.3913034252,52.3637148982,88.4737438167,65.5439148363,59.0732877948
PG4PC1PC2-20180108224201.pkl,3.35300719468,0.208974302956,75.6794633653,24.8108829311,4.92545790787,18.1576098649
PG4PC1PC2-20180108224810.pkl,3.9811835656,27.677146569,44.3911787205,52.1989208729,69.7107176461,21.1877789379
PG4PC1PC2-20180108225314.pkl,2.04753668074,27.8156993203,83.2938223656,10.8679250909,97.7979884286,15.6896268898
PG4PC1PC2-20180108225835.pkl,0.645882525469,20.6000205631,13.2268842137,95.9400486791,50.5506840537,62.2130543727
PG4PC1PC2-20180108230333.pkl,1.5827081157,3.22997318636,67.3301665134,7.82286816666,9.50492962227,71.849219107
PG4PC1PC2-20180108230837.pkl,0.916946658418,14.8038140857,81.4237617748,61.7204118076,58.8216553044,51.5818511593
PG4PC1PC2-20180108231338.pkl,1.93853719458,10.9490507286,26.5936959941,20.486699315,44.6790618483,26.3670522724
PG4PC1PC2-20180108231907.pkl,1.45583760119,29.7840994594,29.1773690285,53.813300765,37.0483963086,49.6506860601
PG4PC1PC2-20180108232451.pkl,3.10204525687,18.1834438308,77.843391998,58.9772143328,6.35736179927,44.4835651548
PG4PC1PC2-20180108232953.pkl,2.09257461942,18.4127152745,28.8660581023,32.6106841591,25.5762723265,79.1006292741
