file,mu0,gamma0,beta0,eta0,kappa0
PG4PC2-20171223223423.pkl,3.01211639707,8.23814085456,86.662548067,63.4789730823,21.7258913785
PG4PC2-20171223223741.pkl,3.29777827081,24.3420929099,30.485617175,89.1866114095,66.6608905187
PG4PC2-20171223224021.pkl,2.22348333236,12.5496788753,61.8186912399,92.4954815863,65.1124629539
PG4PC2-20171223224301.pkl,3.75409551404,19.0385417083,14.2230078165,71.613607064,90.6858592813
PG4PC2-20171223224534.pkl,0.83120004117,5.74847587849,64.2124844001,67.591069704,27.1193192423
PG4PC2-20171223224819.pkl,3.55962203273,22.1857706031,62.7778118711,84.8458197032,78.5867735466
PG4PC2-20171223225101.pkl,1.78847914481,15.6986790545,97.4053234937,64.7901263845,5.70662360284
PG4PC2-20171223225555.pkl,0.357353585409,9.7147829192,20.7133742309,63.5233720328,70.3514022416
PG4PC2-20171223225842.pkl,2.47956943817,26.343379029,18.9749955638,85.7465458617,59.9828041778
PG4PC2-20171223230239.pkl,0.112000910755,12.7134658361,80.253335932,38.563291771,41.6525503462
PG4PC2-20171223230507.pkl,2.12823231944,17.835305771,32.868134809,32.3221320645,21.1794138793
PG4PC2-20171223230733.pkl,2.06434985346,3.86846776457,48.1081038291,17.5847094666,6.45749266834
PG4PC2-20171223230958.pkl,0.299444608522,28.635071073,96.5770370937,26.3726387206,67.9952770893
PG4PC2-20171223231238.pkl,2.19747728625,15.1224467692,53.728369313,92.7538686022,91.4898002886
PG4PC2-20171223231658.pkl,0.00531239200186,18.5736934382,85.870749479,66.9519521624,79.7717553112
PG4PC2-20171223231940.pkl,0.912245355818,19.5081492291,10.6041149253,76.1383193209,73.3033389285
PG4PC2-20171223232214.pkl,1.19642432396,11.6922612465,13.9234276877,40.4336527095,39.2443180905
PG4PC2-20171223232459.pkl,2.94149376566,2.93456940377,74.2443429377,85.7211447756,7.32491054408
PG4PC2-20171223232732.pkl,0.781564381855,27.9934048436,90.5331249143,23.0045395993,73.5723775753
PG4PC2-20171223233015.pkl,3.80244713103,14.343310525,72.8734187462,72.6688639807,40.2077493168
PG4PC2-20171223233255.pkl,3.31915054156,16.9043143794,17.7409354399,43.2837669335,77.6197754007
PG4PC2-20171223233532.pkl,3.80533850288,10.3813606026,87.2374877548,29.0923924405,75.4619493277
PG4PC2-20171223233812.pkl,0.572753484264,12.9848221872,18.0238678,87.3840528285,20.7913555536
PG4PC2-20171223234045.pkl,2.33189844848,2.10637798598,41.0824048976,26.8838840698,90.852266305
PG4PC2-20171223234322.pkl,3.08593410913,16.3087813856,62.8137996681,67.9212750764,75.4585055366
PG4PC2-20171223234716.pkl,0.1164273417,11.769552173,66.3671691227,29.5599679618,4.04412684009
PG4PC2-20171223235113.pkl,0.0156862778847,25.3862606679,16.1207698134,37.509624696,26.4933221744
PG4PC2-20171223235410.pkl,3.81508576987,21.2011340991,37.4701340652,28.3745022929,15.6449961114
PG4PC2-20171223235653.pkl,1.16828185743,28.5990856163,94.2269998639,62.2471825362,24.0790023521
PG4PC2-20171223235926.pkl,1.78244792807,25.911938876,47.7262596413,23.2232219251,99.3773481428
PG4PC2-20171224000207.pkl,1.42067748529,5.73499269293,34.0975747376,77.111628889,99.4240723043
PG4PC2-20171224000431.pkl,2.06219305065,4.92264551613,25.8637364425,8.24883893052,72.7384633751
PG4PC2-20171224000703.pkl,0.37421032609,14.5222558031,45.5316710559,94.9276628639,76.0116132251
PG4PC2-20171224000920.pkl,0.340094665055,15.9543758919,7.52472602112,63.7317705933,15.8202804141
PG4PC2-20171224001150.pkl,1.00618367425,13.8580408824,5.66783621487,8.6655901194,18.6350662657
PG4PC2-20171224001454.pkl,3.99748926119,21.8523931354,50.7127271257,20.4129205431,2.76259470618
PG4PC2-20171224001734.pkl,1.52988214729,29.2683207159,8.44900069457,66.6398313566,20.3750680518
PG4PC2-20171224002236.pkl,0.409367629463,3.5688089319,6.18497941352,84.4804009972,3.94875427671
PG4PC2-20171224002513.pkl,1.52121033014,23.7523364593,42.0738222932,36.8499353749,30.2936018711
PG4PC2-20171224002752.pkl,1.12019605593,29.9920315203,70.9191556496,49.8523838271,55.588894501
PG4PC2-20171224003020.pkl,2.01389212021,14.9867215653,75.9181491011,9.36275700759,26.9411532504
PG4PC2-20171224003258.pkl,1.6897101928,25.5210021393,3.20949140943,58.9828158286,51.3501411886
PG4PC2-20171224003534.pkl,2.57879374135,17.0550960129,10.0809529676,0.912863245965,86.2781551534
PG4PC2-20171224003832.pkl,1.15686341997,6.90945164742,26.3244353084,56.045105726,91.2225077761
PG4PC2-20171224004126.pkl,0.924857695407,17.0803502025,77.2092982336,74.1677102864,45.0948824244
PG4PC2-20171224004408.pkl,1.07527439048,29.0471204711,37.3715670042,53.7357278504,48.8954998955
PG4PC2-20171224004646.pkl,0.782554656134,23.0133300619,59.1986986186,39.9937542005,74.3952564622
PG4PC2-20171224004934.pkl,1.81136833971,22.8690812661,68.5079445452,91.145557447,9.68076143255
PG4PC2-20171224005206.pkl,1.31741456489,23.5720676387,76.2578246488,17.5003781618,62.4399465151
PG4PC2-20171224005437.pkl,3.31903151822,4.67981638832,11.6765962644,34.9835635662,10.6327095501
PG4PC2-20171224005713.pkl,1.27191535525,22.0685888394,24.5358563727,71.5738407815,84.6132706624
PG4PC2-20171224005950.pkl,1.0430490416,10.6038199055,16.8369024412,50.4895214576,36.2598196492
PG4PC2-20171224010215.pkl,2.21420733345,3.20395299965,74.2140302218,33.3425956707,56.1220439678
PG4PC2-20171224010505.pkl,3.38585719992,24.4989391005,12.2472057876,43.3548634472,74.1798400015
PG4PC2-20171224010745.pkl,1.82025169464,13.2151140646,84.0456775224,96.4590107855,93.5526003283
PG4PC2-20171224011030.pkl,1.04862671387,24.6234051752,59.4333991811,79.9452459201,20.7934956066
PG4PC2-20171224011300.pkl,1.04019938255,8.52169293575,37.353591022,43.1902553819,67.7348014754
PG4PC2-20171224011529.pkl,3.38052005486,9.96251431015,12.141663297,32.5106343962,87.0167321802
PG4PC2-20171224011804.pkl,3.24380821183,9.27246913062,48.5523326142,83.6337544498,68.7228666708
PG4PC2-20171224012035.pkl,3.04584869722,3.45748147401,24.4910484865,7.95174670048,13.1636797928
PG4PC2-20171224012307.pkl,1.34730907545,21.1227667101,72.8488338999,20.8049385059,35.1480710585
PG4PC2-20171224012539.pkl,2.77862112769,5.44657827534,2.36252743648,40.7926250549,64.8146571407
PG4PC2-20171224012819.pkl,3.90921160397,8.86595310732,47.761021351,12.2010200295,87.7359006503
PG4PC2-20171224013049.pkl,1.34438521909,1.01289366233,42.8280211573,7.6976122767,96.1381424649
PG4PC2-20171224013334.pkl,1.98802126838,7.49071511249,63.3291907016,69.5278893203,3.8735357098
PG4PC2-20171224013609.pkl,2.42610017556,12.6711329094,16.6817648621,67.4613398522,86.4750309906
PG4PC2-20171224013834.pkl,0.332030402453,19.2721439041,65.8683798277,39.2776822683,40.5609092428
PG4PC2-20171224014107.pkl,1.23325073425,28.7191651136,9.25732093206,1.1728723824,98.6990076392
PG4PC2-20171224014401.pkl,2.47116711674,27.4961534026,51.8230755817,19.8078414868,46.9712109852
PG4PC2-20171224014645.pkl,1.62046946379,29.4262372539,47.2837957936,63.2383967951,41.4934870109
PG4PC2-20171224014928.pkl,1.24696033094,0.319215880992,93.3942368446,74.9121071057,78.5665137804
PG4PC2-20171224015320.pkl,0.132920491492,16.4541838331,24.8171110741,42.0928935104,62.9328268172
PG4PC2-20171224015543.pkl,0.898309575463,16.8357242114,12.740768277,19.0067949344,2.00007909806
PG4PC2-20171224015823.pkl,0.794973447066,9.42808074575,40.4937867627,73.3311548587,65.6542169451
PG4PC2-20171224020047.pkl,3.04193146205,3.13893415823,10.9053300683,4.05054379126,10.3459521676
PG4PC2-20171224020336.pkl,0.59241335839,7.20962791136,18.8972795281,2.22103773818,15.3401401984
PG4PC2-20171224020614.pkl,3.37938470904,1.67293611596,52.4277649585,50.896056364,23.8089462118
PG4PC2-20171224020845.pkl,1.48359780785,10.5112555028,91.1701976304,16.4996934925,95.0067724312
PG4PC2-20171224021125.pkl,3.4656710885,13.2623763314,75.0071313649,77.2275001512,35.8315744863
PG4PC2-20171224021411.pkl,3.75546226328,17.2218880553,18.446078439,44.6319087331,42.8359643123
PG4PC2-20171224021635.pkl,0.315606947264,26.7063849359,63.0705337766,18.7958732078,81.451797274
PG4PC2-20171224021907.pkl,2.46131584344,13.8901832652,24.7971910808,36.5113975349,40.2854392789
PG4PC2-20171224022148.pkl,3.70566068147,0.127589153941,28.3247640482,89.2225086267,97.5914548828
PG4PC2-20171224022421.pkl,2.40842875206,10.9631061035,1.24849629098,90.1939013876,76.132605848
PG4PC2-20171224022657.pkl,3.53256602308,9.17761312018,37.1926280248,12.8444996013,49.965494425
PG4PC2-20171224022940.pkl,2.06901385115,21.4683211166,29.1297209876,52.7676565906,62.1898015848
PG4PC2-20171224023225.pkl,3.15527403036,17.8646373126,41.7824360455,44.6195519866,42.5627326306
PG4PC2-20171224023500.pkl,2.78862016621,2.6292385762,60.8426379605,39.3127919854,84.2557418811
PG4PC2-20171224023738.pkl,1.25935560976,25.3907422248,3.99038671693,45.5185552506,26.8976535517
PG4PC2-20171224024035.pkl,3.62077877818,28.4405238567,47.7666655685,21.6444743055,7.00986040533
PG4PC2-20171224024300.pkl,0.36641340667,28.7599617353,50.5941551612,15.199143552,32.8661757854
PG4PC2-20171224024543.pkl,3.70498758741,20.8522294326,76.9675567192,41.0905294593,38.7503323068
PG4PC2-20171224024813.pkl,1.29200534501,14.3957055259,84.1603571595,25.4319897681,50.4018619312
PG4PC2-20171224025045.pkl,3.16246146639,4.09428162023,62.5627825985,85.2593400031,66.8230970153
PG4PC2-20171224025325.pkl,1.79033821512,4.12491153452,6.28736983375,40.0612700532,16.7676274543
PG4PC2-20171224025626.pkl,3.08695122228,25.4044250719,88.7469926543,77.5733288531,4.46129237417
PG4PC2-20171224025843.pkl,3.14976075831,12.1944623004,57.5226030807,33.1423631062,27.77503731
PG4PC2-20171224030106.pkl,0.434051988311,10.6976545124,25.526236928,98.0196608795,73.6906074615
PG4PC2-20171224030357.pkl,3.96820061839,18.8414597528,84.1737768863,4.52635739577,94.919019362
PG4PC2-20171224030628.pkl,0.780816089527,15.8700002013,99.4088091359,20.0992305749,45.4627077613
PG4PC2-20171224030914.pkl,3.75174776187,17.2427742492,93.6792076427,13.7870657285,16.2282924491
PG4PC2-20171224031208.pkl,2.16763715062,29.3039775778,81.1182918367,49.4638418384,17.5962395041
PG4PC2-20171224031456.pkl,1.23446443785,10.1595085901,99.4849931564,97.7992056617,87.9831414256
PG4PC2-20171224031735.pkl,0.827116533432,26.598907244,73.1360578513,63.4109145125,76.7920020081
PG4PC2-20171224032029.pkl,3.52367306328,24.9682530613,23.1403341856,8.15854164266,48.8584375655
PG4PC2-20171224032705.pkl,0.286194491012,12.887444538,31.0250220227,96.3797309496,26.1188396432
PG4PC2-20171224032937.pkl,3.90931262055,9.09308795453,14.5713297119,1.17095815297,18.2636246356
PG4PC2-20171224033211.pkl,1.23800211195,7.14343859867,39.8602013436,20.0866937319,29.7855345096
PG4PC2-20171224033452.pkl,1.77053399604,17.5639431862,8.40759467888,47.1146213098,9.95823958719
PG4PC2-20171224033747.pkl,3.15091249118,23.9028689691,54.5308515294,30.0027764192,68.9816403836
PG4PC2-20171224034020.pkl,2.12532979857,6.21430394184,88.8263512051,50.2387429685,31.6660187951
PG4PC2-20171224034249.pkl,1.72295539062,0.38294293612,56.1136101906,12.0458823749,30.1839634009
PG4PC2-20171224034524.pkl,1.49517221055,9.08909425899,40.6534664318,81.5613315846,31.1333952404
PG4PC2-20171224034800.pkl,0.691885230292,28.3148645311,10.6076103218,34.8332824511,94.5074426811
PG4PC2-20171224035033.pkl,1.91933300182,21.2322882663,65.5603541592,28.6141472504,81.5303251745
PG4PC2-20171224035344.pkl,3.17704924734,29.8072926199,30.1182230659,11.9613712703,5.853316452
PG4PC2-20171224035628.pkl,1.49177685216,17.1946282626,98.9952984782,86.8672118168,84.6395272375
PG4PC2-20171224035902.pkl,1.89844456603,12.0136275546,25.0028771139,46.9101799842,36.5663547224
PG4PC2-20171224040127.pkl,1.426778539,12.6886022696,9.33962750747,4.97001062688,44.0146099099
PG4PC2-20171224040402.pkl,2.41372042566,4.32706180256,85.2403215359,52.8171326244,57.2257873002
PG4PC2-20171224040645.pkl,2.18550624005,19.3890469243,28.5695715867,70.9497764591,19.0207919474
PG4PC2-20171224040927.pkl,0.574432411676,0.918001530893,17.192649192,95.0696034362,61.2779937362
PG4PC2-20171224041203.pkl,3.19053964797,13.1031172088,71.5715125692,51.8415334648,11.9697181647
PG4PC2-20171224041434.pkl,0.601359530629,28.6109440028,9.63967372164,23.0748239491,17.7164977041
PG4PC2-20171224041703.pkl,3.1035749026,3.52481170571,82.2793803286,79.5175657814,92.2506391222
PG4PC2-20171224042109.pkl,0.0769952263902,7.27051859162,86.4365235292,35.9671018312,22.1412664041
PG4PC2-20171224042351.pkl,2.94508863854,16.6129021784,48.3748411647,71.9784002866,51.0780946234
PG4PC2-20171224042636.pkl,2.98707833459,18.5539403065,60.8501916177,57.7726994222,10.8058063888
PG4PC2-20171224042909.pkl,1.78993627805,12.198766648,26.3852534122,10.9563465843,56.5843126345
PG4PC2-20171224043150.pkl,2.00495678645,7.74531108131,72.9535783099,90.7593624868,31.431356145
PG4PC2-20171224043425.pkl,1.26125200418,29.4437550448,8.98191115712,17.6252232455,36.6314263771
PG4PC2-20171224043707.pkl,2.33028916662,16.3167851422,57.4881752139,97.1773987053,90.3134431429
PG4PC2-20171224044042.pkl,0.158594568767,28.938126691,70.4982331186,4.3460219515,30.8684087897
PG4PC2-20171224044312.pkl,2.2588433638,23.8523715175,97.3769633059,3.31947288182,4.03236233262
PG4PC2-20171224044603.pkl,0.907989858139,29.1104375062,52.1745788022,96.6512562706,73.8222995897
PG4PC2-20171224044855.pkl,2.13895441205,29.2998759334,8.61036032846,34.7986583375,30.7122569492
PG4PC2-20171224045129.pkl,1.06444090641,17.2616620432,15.4336052967,31.1499063494,48.5065036058
PG4PC2-20171224045436.pkl,3.72989523807,26.5743305425,29.4486864243,18.8456573125,85.8224975894
PG4PC2-20171224045710.pkl,2.50642524605,5.48556862127,32.4732858472,51.3836613025,25.0323674626
PG4PC2-20171224050138.pkl,0.0593522817911,4.88801121267,77.7077167203,91.6560915453,72.9101027923
PG4PC2-20171224050426.pkl,3.8018351805,16.0159052641,44.4510353996,47.5171222421,2.2733681526
PG4PC2-20171224050730.pkl,3.43028119477,28.6453278463,30.8354040244,82.976018358,2.65350809912
PG4PC2-20171224051003.pkl,1.58456975633,6.14270816852,68.3682336283,78.451356676,61.6427503077
PG4PC2-20171224051314.pkl,3.55213842279,26.2668969277,16.4805481835,14.6373626813,67.6686763967
PG4PC2-20171224051539.pkl,0.732053308723,3.26024876268,57.99108893,39.9211466928,17.7852019112
PG4PC2-20171224051823.pkl,1.16867699763,25.8571377338,19.9287287295,76.5464769934,95.3156946797
PG4PC2-20171224052051.pkl,1.46703565384,6.81914299257,30.6749560681,14.4779046935,82.5047388397
PG4PC2-20171224052329.pkl,2.44728316133,0.406886566256,99.9134499253,78.4954087084,54.4547225675
PG4PC2-20171224052600.pkl,3.45594378976,2.29918461728,98.9501258031,97.655678632,90.0366898389
PG4PC2-20171224053022.pkl,0.0672236866505,4.31922894228,19.8069207861,77.6724535222,12.8612199752
