file,mu0,gamma0,beta0,eta0,kappa0,scale0
PG4PC2a-20171226012255.pkl,2.40852885931,11.2683548299,19.9577701359,25.9538973844,89.9122431177,0.292061301509
PG4PC2a-20171226012648.pkl,3.66033569214,29.3673087166,22.9214467427,10.8168042535,24.9128392018,0.498878510771
PG4PC2a-20171226013008.pkl,1.52597961562,21.0495561395,97.8232300795,79.6035624171,49.276041997,0.171878103264
PG4PC2a-20171226013444.pkl,0.20406401444,13.4013350655,78.1678321093,81.0266214597,7.60677795171,0.221017197703
PG4PC2a-20171226013802.pkl,1.31879613606,17.2881440667,62.8720622077,71.4929799722,91.5949251928,0.320427219921
PG4PC2a-20171226014109.pkl,3.45994592399,9.77001015941,3.43264386396,68.9078790219,6.96368620421,0.453878180979
PG4PC2a-20171226014417.pkl,2.14722925033,18.4589096126,41.6104477084,9.8805562214,15.1426883112,0.599916528768
PG4PC2a-20171226014728.pkl,1.39347026491,18.4459945922,91.2307715047,90.2613906905,55.4243248781,0.0232754414932
PG4PC2a-20171226015033.pkl,3.65727259342,15.3831315357,37.3821290201,44.5413713658,43.546106621,0.0145812036984
PG4PC2a-20171226015329.pkl,3.23618305858,2.17953162883,1.50819796068,44.0035812355,27.326634727,0.538500654389
PG4PC2a-20171226015637.pkl,0.766640886632,29.6694120712,33.7526242591,23.5185368339,16.6878197078,0.589027012733
PG4PC2a-20171226015950.pkl,2.3665651321,1.08610601035,97.2704399158,54.0763396435,34.5089206363,0.891955310746
PG4PC2a-20171226020317.pkl,2.07243801217,16.9751854422,96.2143963002,95.703981575,72.03940339,0.0697851541621
PG4PC2a-20171226020623.pkl,3.18767745896,13.5014301521,8.04491273817,69.9470500899,55.1123013146,0.29843746494
PG4PC2a-20171226020930.pkl,1.05630363655,7.50351451678,71.0811088072,26.962901407,50.6183786682,0.235610775054
PG4PC2a-20171226021259.pkl,1.30798400489,29.4355590237,94.2587198808,61.713533637,98.813086068,0.990883915232
PG4PC2a-20171226041641.pkl,2.31258585639,28.8688986333,31.4491100302,82.0622012572,21.7023827259,0.741964843421
PG4PC2a-20171226042003.pkl,1.06781801113,26.8956499,4.53386918687,77.8807082272,95.1114862816,0.0491618204466
PG4PC2a-20171226042332.pkl,1.75068713758,20.2780957567,73.9496779115,76.2040296097,12.1627975706,0.948135121895
PG4PC2a-20171226042646.pkl,1.27107228211,14.2250730499,40.9924966049,33.4256376976,87.472266475,0.739281119106
PG4PC2a-20171226042958.pkl,0.633885875068,25.194249346,73.8279126423,28.1223916943,22.8438477571,0.131833621434
PG4PC2a-20171226043313.pkl,2.12923952327,18.2645019959,98.2572795109,12.7351439274,68.4833320971,0.544776242237
PG4PC2a-20171226043711.pkl,3.19113877089,26.243055029,69.8913056221,97.0534982475,60.4990837204,0.336292371148
PG4PC2a-20171226044033.pkl,2.87599409293,1.1486858606,24.4925912718,47.7385820873,40.0268536024,0.854569536699
PG4PC2a-20171226044353.pkl,3.05617259901,19.2010806009,26.2753433303,34.2617330873,22.43524925,0.696022571631
PG4PC2a-20171226044650.pkl,1.27291721803,3.72628481442,18.8634168023,28.9221329671,39.0290031906,0.393063567994
PG4PC2a-20171226044948.pkl,0.99572455646,2.2191537003,13.061493788,79.0517826845,10.25627584,0.562271828607
PG4PC2a-20171226045316.pkl,3.77259271615,12.8470894963,82.2908695398,67.346051205,27.6757962586,0.440991736687
PG4PC2a-20171226045641.pkl,0.907854367855,22.0375315751,36.3085341793,33.9207084985,25.8758651252,0.0485125520884
PG4PC2a-20171226045946.pkl,2.75859727831,6.78371043692,32.4763092859,10.8116248937,12.9418289762,0.304308018797
PG4PC2a-20171226050313.pkl,2.22310852221,18.9529347022,21.02075376,99.1982300701,40.4764417096,0.718602103607
PG4PC2a-20171226050655.pkl,3.41147336018,28.7623259106,43.1930634357,39.5169921389,19.1170973975,0.49055576411
PG4PC2a-20171226051031.pkl,3.19467741875,19.6860608164,35.4815225184,19.1401412487,31.6060580361,0.598861850604
PG4PC2a-20171226051359.pkl,3.09979545686,14.5549516004,43.7271535138,93.4607111413,70.091765022,0.516222054309
PG4PC2a-20171226051724.pkl,0.943210384378,15.9439659772,20.0422442145,98.9311667378,10.312443924,0.201174627175
PG4PC2a-20171226052050.pkl,1.52587277892,12.0736842037,89.6199280572,63.8778218141,86.7149263664,0.465581307084
PG4PC2a-20171226052425.pkl,3.17412524611,23.6398530426,72.7692286621,23.7066991217,96.425340461,0.182054563021
PG4PC2a-20171226052742.pkl,1.80649624765,23.832866455,74.2655765019,50.5035447839,65.5969081005,0.476646069735
PG4PC2a-20171226053044.pkl,3.56545950533,7.65368246933,30.6791858504,21.6101893012,69.9419524527,0.245377965323
PG4PC2a-20171226053352.pkl,1.45813627739,26.2596730776,2.75564136616,33.0583507514,9.78892096533,0.0206767608648
PG4PC2a-20171226053746.pkl,3.96293770202,28.8462591974,98.5145931746,13.6967915189,30.9775261731,0.668213035086
PG4PC2a-20171226054058.pkl,1.77659309769,26.6357966497,15.6775798287,25.2323278779,46.8244137534,0.577883840734
PG4PC2a-20171226054409.pkl,0.431115957988,13.6523497557,95.9028101953,70.4609598351,94.2672242857,0.372367273824
PG4PC2a-20171226054741.pkl,3.51893987372,18.2938701804,49.8553120806,98.9995311094,26.8370547076,0.85820582637
PG4PC2a-20171226055133.pkl,3.95951277299,24.497253558,7.59282667427,72.7066683481,34.1739314835,0.356422087887
PG4PC2a-20171226055448.pkl,0.840848998686,22.5408826979,38.1290179917,42.5594254806,63.2304820351,0.958594405705
PG4PC2a-20171226055935.pkl,3.08017376359,0.467690444934,33.0407609525,17.1179383455,64.8641338151,0.194590446896
PG4PC2a-20171226060338.pkl,3.70640948576,29.2669417606,9.79343547598,17.4352594756,18.7605522273,0.520313689218
PG4PC2a-20171226061200.pkl,1.52511591595,0.387183946837,17.6210681548,5.64775373817,4.272230169,0.281358674356
PG4PC2a-20171226061947.pkl,2.10346636194,1.07905742847,42.108855186,75.0881490886,42.3699968921,0.490096742732
PG4PC2a-20171226062315.pkl,3.02900346582,17.9569301161,22.1747543078,2.19387552995,95.8941942163,0.817436294379
PG4PC2a-20171226062634.pkl,1.18149938168,27.658957207,12.3577635292,42.8266586789,96.0780833364,0.337313519597
PG4PC2a-20171226063014.pkl,3.86778234383,21.7229520193,44.0723261629,24.3683351126,17.9649018594,0.865321887479
PG4PC2a-20171226063407.pkl,2.99084018297,28.8066879624,13.513759979,94.9669583325,80.6819150539,0.532525422854
PG4PC2a-20171226064215.pkl,2.14536806573,1.4407525879,40.4778383984,17.5613946009,90.7303411738,0.123640424807
PG4PC2a-20171226064542.pkl,2.76165634904,20.3116072888,80.8422307121,88.6711034403,84.7974673007,0.475101192198
PG4PC2a-20171226064839.pkl,1.07391645834,22.2219598271,37.127676358,23.835682879,58.9431497202,0.0316410979858
PG4PC2a-20171226065149.pkl,1.31218052009,26.0591269279,40.8487504529,7.65874179983,49.0876848356,0.460243576539
PG4PC2a-20171226065438.pkl,0.181089916491,22.3944440514,12.1705636428,79.8235097281,90.2745205347,0.0723422380991
PG4PC2a-20171226065747.pkl,2.62636552137,20.9638420078,38.3259116535,18.3452767743,58.3982814063,0.0936665719224
PG4PC2a-20171226070058.pkl,1.39576610446,9.71038086318,94.2106217919,72.8025529318,41.5890586737,0.571625242168
PG4PC2a-20171226070356.pkl,1.57081726267,14.6336681008,6.81593744602,25.9110021989,40.5796148697,0.422777928836
PG4PC2a-20171226070710.pkl,2.20009448865,27.1881192034,23.7001405457,7.19515108234,64.8460187936,0.206141561364
PG4PC2a-20171226071019.pkl,0.781838922418,28.6281066426,97.9091908694,58.3799807851,39.4988359962,0.410110415724
PG4PC2a-20171226071352.pkl,0.774355701289,27.3408781823,53.8912533038,98.1368129452,7.98064530098,0.579309562438
PG4PC2a-20171226071712.pkl,2.03046503145,29.6944597096,90.168496576,94.1493131407,33.7878790674,0.724140045703
PG4PC2a-20171226072033.pkl,3.34604612119,18.1036053071,68.8485631238,5.92521364716,9.38427424988,0.203316738894
PG4PC2a-20171226072511.pkl,0.0850909120276,22.4217640208,90.8572145952,16.5109486582,46.7854517529,0.106591862998
PG4PC2a-20171226072818.pkl,1.83166206577,16.9495373723,12.2723836571,10.152111513,46.5101641269,0.557864987822
PG4PC2a-20171226073115.pkl,2.28624131379,4.56565621604,66.6018414189,15.713621313,72.97382317,0.249047420391
PG4PC2a-20171226075133.pkl,2.10122301113,1.06344870557,72.3273239556,74.4395534189,51.6403546155,0.264186312615
PG4PC2a-20171226075456.pkl,2.44616737263,18.5131488096,31.5990714187,97.1713460149,27.6015690832,0.619901689858
PG4PC2a-20171226075749.pkl,3.71280151252,4.75785425,88.0587098849,26.9371849905,52.2801666763,0.0877116287386
PG4PC2a-20171226080059.pkl,3.38525026753,4.18538983364,98.6239441831,82.2854761448,33.5121950194,0.160313234268
PG4PC2a-20171226080411.pkl,0.460070346636,25.9474056218,81.9240710186,38.5738366807,45.0631750894,0.329003773717
PG4PC2a-20171226080750.pkl,2.54457341381,25.2167336693,81.6389288247,45.2517159167,1.35590258741,0.807001530518
PG4PC2a-20171226081120.pkl,3.00563107649,14.4024130325,98.3178300558,21.0952291764,39.4413389516,0.718665052409
PG4PC2a-20171226081428.pkl,2.78386435583,21.3904658656,32.3390497418,92.3655758589,54.7541605122,0.228125311448
PG4PC2a-20171226081725.pkl,2.8409738253,17.8897542447,62.3664231712,21.3532056228,59.896012867,0.77833691944
PG4PC2a-20171226082034.pkl,1.0551638806,10.8878570948,97.4644726989,46.7387352288,74.3819946298,0.717138386279
PG4PC2a-20171226082414.pkl,1.50778416214,4.48376136428,52.5321258944,81.5488249083,35.8365183654,0.974409038027
PG4PC2a-20171226082748.pkl,2.44103241897,26.3578705401,64.2726847641,82.2023586618,83.6790945888,0.915579563685
PG4PC2a-20171226083101.pkl,3.37698992776,6.68873338852,58.1253285367,85.6184348859,61.0381132137,0.887992697511
PG4PC2a-20171226083405.pkl,1.74853173441,7.90906319288,19.9264655538,23.3173853149,95.4692603261,0.801582482934
PG4PC2a-20171226084032.pkl,2.22116238847,0.508897542725,25.5693703949,25.1411326083,70.6893688023,0.150264150293
PG4PC2a-20171226084332.pkl,2.08038468952,11.3245213818,43.8086480537,12.3466320076,19.1919741754,0.502847432053
PG4PC2a-20171226084646.pkl,2.28717697887,26.209489606,87.8816784804,58.0333638679,8.73032458864,0.162821552602
PG4PC2a-20171226084947.pkl,1.38562146701,3.39315034217,17.4621556137,59.7957940524,52.5151835449,0.640914443029
PG4PC2a-20171226085410.pkl,0.424777532382,4.64801886776,68.3565410882,37.4847283906,60.7700197808,0.384749385958
PG4PC2a-20171226085732.pkl,3.82613693136,20.5995701817,18.9161388014,97.4295195656,89.6520498638,0.971482425951
PG4PC2a-20171226090020.pkl,0.305225721718,21.3462363734,17.9765515673,65.1714618831,11.3619556909,0.678543955953
PG4PC2a-20171226090315.pkl,1.32409025722,19.0588355119,8.7050349472,57.4901111591,3.46633529879,0.43820718538
PG4PC2a-20171226090556.pkl,0.723113576479,13.7406245469,56.7359318689,32.4380481864,40.3994141019,0.159169738164
PG4PC2a-20171226090903.pkl,3.54000075383,10.6190482203,31.3924114809,89.9123014382,35.0397376738,0.577633885254
PG4PC2a-20171226091203.pkl,2.0263022058,14.0493654411,45.6986675114,40.7957504037,48.368985675,0.846194331743
PG4PC2a-20171226091510.pkl,0.580159474235,22.3714626174,69.3592932325,83.1195252724,47.7553875248,0.476070468084
PG4PC2a-20171226091925.pkl,1.73530835069,1.07690708086,23.2051669248,59.8546576906,58.4816817588,0.405489093445
PG4PC2a-20171226092255.pkl,3.81237288147,27.6242041487,28.9317094764,13.9341800487,44.6173883512,0.723862114716
PG4PC2a-20171226092615.pkl,2.57272512924,24.0296993106,16.7600711186,77.0916758098,91.0020594814,0.974555006475
PG4PC2a-20171226092929.pkl,3.60429125303,17.4749263453,49.2640192008,91.0618582258,79.443575557,0.198656312542
PG4PC2a-20171226093212.pkl,1.83753648377,3.40980991493,12.232467428,15.0951619784,74.2482094134,0.229027894727
PG4PC2a-20171226093523.pkl,1.34084367702,21.2760238998,30.2749943818,80.6508109727,72.599938683,0.844512074223
PG4PC2a-20171226093819.pkl,0.757829911078,11.9643528797,93.5626550497,4.83555775728,46.5673770114,0.531333982372
PG4PC2a-20171226094123.pkl,3.84159155919,9.47175579294,82.1474093615,67.4478458492,28.7511520752,0.183143528594
PG4PC2a-20171226094424.pkl,1.73338590988,2.76697723108,38.021519572,21.4334622233,93.7656091658,0.178519219405
PG4PC2a-20171226094716.pkl,1.26539045975,17.2847102278,59.7513233766,23.6082207566,30.269182286,0.774829431913
PG4PC2a-20171226095020.pkl,2.41994967444,14.1957528445,15.0939009276,77.4344130687,35.6089075477,0.790682544766
PG4PC2a-20171226095311.pkl,1.91591973348,3.6260277358,53.7372221628,40.2411116432,86.6695809347,0.0159924021007
PG4PC2a-20171226095609.pkl,2.56604210967,8.09827986197,97.6451320802,88.192048244,2.11228121308,0.387123819978
PG4PC2a-20171226095901.pkl,3.99013256853,7.51276567707,93.7054429451,74.4252742109,44.2287445021,0.697390913608
PG4PC2a-20171226100142.pkl,0.447593818567,26.4252564447,38.8299131112,44.0498554453,3.32128005278,0.597805195914
PG4PC2a-20171226100432.pkl,3.73340822129,1.40776126962,35.8228917044,32.0153704626,33.5011296433,0.521949919962
PG4PC2a-20171226100722.pkl,3.06689216046,0.75419980774,44.1027302636,23.6621251165,51.263266156,0.671525028068
PG4PC2a-20171226101028.pkl,0.586781215794,25.5660408455,42.6724180875,88.053164498,73.748243369,0.175539894349
PG4PC2a-20171226101417.pkl,3.72412780643,28.4939021602,97.4523614295,6.05954240979,14.3427003613,0.393999049555
PG4PC2a-20171226101711.pkl,2.5857612441,17.5821742294,11.1108153491,15.7407073524,22.3094906992,0.506269550949
PG4PC2a-20171226102016.pkl,1.38765988787,10.0887385133,59.7176678297,80.4856984381,93.5888550754,0.87473551381
PG4PC2a-20171226102330.pkl,2.55954847164,21.7385070747,24.4551525654,67.5875459672,31.0540829076,0.506652170178
PG4PC2a-20171226102627.pkl,1.15421662,20.1551395354,28.9241718759,42.7284591782,49.1680949947,0.939470569056
PG4PC2a-20171226102918.pkl,1.23668001289,17.5653813195,4.45554563957,39.1622078927,2.80782629729,0.838293015095
PG4PC2a-20171226103229.pkl,2.30489628486,14.954125538,55.3879502899,78.1935223196,71.0180286103,0.328332910003
PG4PC2a-20171226103720.pkl,2.30647418869,14.0169143667,33.9569988647,52.4409326694,17.1585888681,0.174466505132
PG4PC2a-20171226104024.pkl,3.47798361766,16.342866516,96.7077966878,43.0931187053,27.9460446616,0.774963078599
PG4PC2a-20171226104315.pkl,1.3750506814,13.2614640874,87.7115630091,72.9815894043,13.6767702782,0.418281041377
PG4PC2a-20171226104602.pkl,3.62089835852,7.59734534052,43.1232441529,31.1124400733,76.6346213497,0.859884966058
PG4PC2a-20171226104940.pkl,3.75028802355,25.2492348527,56.291397079,40.3365590639,30.1552065757,0.503668619189
PG4PC2a-20171226105256.pkl,1.10965076041,27.1490716094,27.2318647672,89.0841735913,78.3655260309,0.567038107211
PG4PC2a-20171226105704.pkl,0.66362430749,5.72255575896,92.4332828422,7.12627902815,83.7889909585,0.216888235751
PG4PC2a-20171226105952.pkl,1.69804121227,5.49633021213,17.3031882478,21.2095988768,75.9100828486,0.284503443688
