file,mu0,gamma0,beta0,eta0,lambda0
PG5-20171210154325.pkl,0.468653527529,3.13129524947,86.0630719826,25.0123676999,26.0886182153
PG5-20171210154930.pkl,3.47959121188,1.54296744147,12.316333588,47.4672535823,35.5185269801
PG5-20171210160142.pkl,2.90251994631,3.41016315669,65.928466333,90.9608308839,8.62219844341
PG5-20171210161327.pkl,0.359346671798,4.51215864602,73.2256846435,51.4322738315,47.9332988246
PG5-20171210162628.pkl,3.61632992625,4.50383876804,89.2971085678,14.4424421923,99.8988135089
PG5-20171210163231.pkl,3.95201611932,3.71023633818,24.9611237988,39.4008967088,28.6156508791
PG5-20171210163841.pkl,2.67807436124,1.75397512142,14.9000466786,77.105308177,91.4669378151
PG5-20171210165101.pkl,1.89130253213,1.18990420308,23.5596940321,43.1010687794,73.1507934291
PG5-20171210170325.pkl,0.887126577177,3.73530670358,76.207954504,85.4111189898,94.1813021843
PG5-20171210171537.pkl,0.645503970706,4.67581802483,97.2915631786,88.9646199267,64.3123628196
PG5-20171210172729.pkl,1.9767886834,4.43543271146,67.0821461799,98.7356589661,77.7583736899
PG5-20171210175114.pkl,3.25812942587,3.16990385809,95.8388305581,46.6775331841,95.1761744316
PG5-20171210175703.pkl,3.92115366801,3.30282976146,19.1287794113,42.5198270844,50.4447509554
PG5-20171210182019.pkl,1.71188286446,1.09168884177,37.9644126145,36.8227069438,18.5123345703
PG5-20171210184342.pkl,2.93376292641,2.14565630586,60.4556458864,26.1784557759,85.6559182039
PG5-20171210185539.pkl,0.232131960219,4.48388294076,87.1070823036,31.3712575407,7.19552539067
PG5-20171210190739.pkl,0.0419494323002,4.98448272788,93.1999918025,85.9456770547,88.5569413829
PG5-20171210191410.pkl,3.09608350149,0.871200112722,9.39338439151,59.4330015682,49.4441383
PG5-20171210192033.pkl,0.773129572909,3.5887212742,41.6787054097,37.0265523483,84.6467013997
PG5-20171210200705.pkl,3.85510862355,0.292216208344,83.7294349955,9.36969268105,30.7575390777
PG5-20171210203039.pkl,0.153151934598,0.885754437388,49.8529786887,46.8725989411,20.6075967169
PG5-20171210204155.pkl,2.42743077895,2.44324708769,31.6923486848,56.3297347255,79.4277750716
PG5-20171210210338.pkl,0.940957541314,2.47838023743,75.4107065621,49.7380643768,6.6223815965
PG5-20171210211436.pkl,1.6048869743,1.87522032673,24.7982985111,4.66884270909,39.5173469892
PG5-20171210215719.pkl,1.5051887762,0.868630166285,82.2331689647,83.1604452951,26.2111187196
PG5-20171210220012.pkl,1.32796806401,4.69992987231,23.0970338974,13.1475479976,69.8040780206
