file,mu0,gamma0,beta0,eta0,kappa0,lambda0
PG5PC2-20171223223521.pkl,1.53626066589,11.8131510678,23.8853439443,90.6209570533,4.59011810358,9.21118947585
PG5PC2-20171223224739.pkl,0.083696826338,14.3032054448,89.4336020102,85.4287491291,48.694296469,43.1832983567
PG5PC2-20171223230008.pkl,2.59943432681,9.705755184,67.8485508416,18.4652690469,27.6013140426,16.3792253426
PG5PC2-20171223231240.pkl,1.59787128692,14.0829379071,96.9543700108,46.6133781614,77.7033875173,75.1043659839
PG5PC2-20171223231911.pkl,3.20546258875,12.2535207283,50.2201399776,81.1125377797,5.88840377022,22.0032445194
PG5PC2-20171223232603.pkl,0.01950664364,27.0565685546,94.9186530776,39.2699789541,9.27342885977,22.2578843197
PG5PC2-20171223233855.pkl,3.96563902178,10.4346046494,99.6140193604,54.0511948149,81.4394858709,76.8265330269
PG5PC2-20171223235128.pkl,0.0945708981689,10.1184600147,79.8683473207,88.8452812374,72.4732071487,1.31978631868
PG5PC2-20171223235336.pkl,1.13886904953,21.0345394656,6.38302200011,38.7678940357,25.5231560888,16.5758246575
PG5PC2-20171224000002.pkl,0.027712261418,25.7931546527,38.2477723397,1.3075387034,15.8150529702,60.5936915836
PG5PC2-20171224000631.pkl,1.93625000761,16.0795678896,68.2857328773,95.2291363982,70.3195223399,35.3526004502
PG5PC2-20171224001306.pkl,3.98104097215,26.5945392329,85.1961143409,11.3650501329,50.1724492728,7.71177583726
PG5PC2-20171224001625.pkl,3.0802799935,25.3911256266,47.0927298733,33.8640278451,72.1972547731,87.5691587193
PG5PC2-20171224002908.pkl,2.3727306529,13.4119171558,98.1127494501,11.7745468976,48.0912533503,5.04433560777
PG5PC2-20171224003748.pkl,1.63335721,0.86113758709,8.55007364073,96.0479614237,95.4425151499,84.9584165624
PG5PC2-20171224004423.pkl,3.49025219847,16.243978647,74.4752724737,41.5633178283,67.3414714016,17.1819512415
PG5PC2-20171224004623.pkl,0.381992188966,19.9273614683,13.7792310952,67.8183295398,7.48426264152,87.2142151144
PG5PC2-20171224004945.pkl,2.76481685283,23.3115954513,46.0833286868,20.1617479032,3.80434813473,63.4571673439
PG5PC2-20171224010214.pkl,2.51622256976,14.2015169285,88.0496889828,17.7012577741,86.4653696923,46.246224058
PG5PC2-20171224010413.pkl,3.86278492117,28.9142504742,24.6834157824,42.6463688837,45.6248249489,33.4506180429
PG5PC2-20171224010611.pkl,1.58095482718,8.99847216527,5.93122339023,54.8767837203,79.1863315098,50.6789688108
PG5PC2-20171224011240.pkl,3.52497732081,24.271226968,86.5282919762,23.3754448337,35.2408084615,23.234441819
PG5PC2-20171224011913.pkl,2.78095797841,15.2008077585,59.0528055027,44.6076662657,63.3556245029,97.8823259217
PG5PC2-20171224012252.pkl,3.38262491719,1.24416108487,6.51337742183,25.9499586642,96.78459637,6.44221136237
PG5PC2-20171224013554.pkl,0.278835881256,12.7440631034,99.9531678485,63.0705865103,47.2792115553,99.3225374043
PG5PC2-20171224013916.pkl,3.58511632601,11.7766219202,28.1479006581,95.0928884769,29.4617632173,96.0139195997
PG5PC2-20171224014553.pkl,3.82433374318,11.7868473196,57.9685125886,51.0608399393,1.37738408291,81.103687187
PG5PC2-20171224015227.pkl,2.96712048686,8.67643906984,42.7838768763,85.2744421396,33.1538830717,77.7635427568
PG5PC2-20171224015557.pkl,3.97490740706,12.3816262632,20.3188455999,35.6493856203,85.9034449804,93.5152606739
PG5PC2-20171224020229.pkl,3.23408231474,11.1909951013,49.5616467489,57.318653614,15.0371697902,84.1018490705
PG5PC2-20171224025316.pkl,1.15157738739,0.604964476796,56.9541163137,59.5892305597,57.6422708207,25.5532711585
PG5PC2-20171224030001.pkl,2.2042570986,5.71849969281,7.54078047991,55.7210509702,17.7193844223,22.0289113234
PG5PC2-20171224030325.pkl,0.797860490114,17.8213705262,36.2334725655,20.0698912239,42.2441422889,42.2922498928
PG5PC2-20171224032748.pkl,2.34624574985,5.52412836342,84.6608063319,60.9188763853,23.1158415656,87.8623359688
PG5PC2-20171224035450.pkl,0.865491336783,1.88452024737,81.5686616302,82.190686236,56.6250851991,80.3739995062
PG5PC2-20171224053412.pkl,0.00233746988698,0.163188923438,95.0099533406,44.6110335198,72.5671141991,85.611668585
PG5PC2-20171224054027.pkl,1.37459896802,11.5532281825,63.4657541105,53.3324776297,53.8681302428,75.4360695176
PG5PC2-20171224054335.pkl,2.88627975296,24.2700742942,40.1079013842,30.0386687168,37.8770630882,59.1048685757
PG5PC2-20171224054525.pkl,3.03145903101,10.544945447,5.87703250937,33.1762853094,60.2711407791,97.8059788446
PG5PC2-20171224063407.pkl,0.30255875605,0.0239002634688,32.2247599997,21.1159760161,7.64464737599,30.9869913429
PG5PC2-20171224063550.pkl,0.755710414002,29.578565521,24.2918206446,18.7028614031,53.3488223592,88.1779041195
PG5PC2-20171224064527.pkl,1.09566782675,8.30817449277,57.2829323919,92.3365635721,99.4035203074,3.7352769802
PG5PC2-20171224064844.pkl,1.51014719942,29.0354272116,48.2661174717,6.42829450344,60.1802977787,33.9888628458
PG5PC2-20171224065038.pkl,0.133739998913,23.9985115259,13.9014087235,12.7277517095,82.6780752098,52.5893042212
PG5PC2-20171224070402.pkl,2.99745475118,5.72650501233,41.4731374405,54.1216342213,5.22127594141,55.013395494
PG5PC2-20171224071616.pkl,1.96461834903,7.15085698251,51.9807583137,95.8759306129,93.0248560774,17.0662917498
PG5PC2-20171224072228.pkl,0.437769658894,14.8625667073,57.2032514064,93.1877361022,80.0006867117,81.1216450129
PG5PC2-20171224073427.pkl,1.86594384481,6.5525216865,59.8110317125,78.6641961365,72.1757404556,1.78226238704
PG5PC2-20171224073636.pkl,0.223814626943,18.0213467379,7.08911117672,71.2159118041,82.241575303,36.5533969966
PG5PC2-20171224074810.pkl,1.54686603257,8.1149886225,58.4130404719,55.0347994823,78.0814988371,67.3807540806
PG5PC2-20171224075419.pkl,1.62554288887,6.24717934639,29.1690354028,52.3221050256,51.4065470985,13.4197130417
PG5PC2-20171224080027.pkl,3.28785457382,12.7718218584,55.3419625607,30.9880735826,47.0231355678,3.65276547726
PG5PC2-20171224080606.pkl,0.840057232619,17.0278029067,44.7102332379,64.7611544838,22.6071734881,79.4123103941
PG5PC2-20171224081208.pkl,1.35635397658,24.172342368,84.7585264611,38.7462192611,52.5030591219,19.9302721074
PG5PC2-20171224081522.pkl,1.7866746435,11.2020744477,22.2127529344,19.3132363529,54.2471139271,32.8140578589
PG5PC2-20171224082238.pkl,1.3378401376,14.3534798486,80.4900051776,44.9968119592,51.6242104203,10.3311060843
PG5PC2-20171224082909.pkl,0.282239961999,15.6142389005,94.3449342771,52.9259804516,15.1713693648,5.39992327392
PG5PC2-20171224083219.pkl,1.84690367338,21.5804074527,43.1052453525,88.7168837751,93.9890117112,52.139996073
PG5PC2-20171224085132.pkl,2.53557154578,8.02385983754,97.3934086615,67.8859532552,96.4551693923,73.5407465059
PG5PC2-20171224090304.pkl,0.860138405202,23.6726896104,74.1639386429,20.920113446,20.0733883895,83.0430892259
PG5PC2-20171224090907.pkl,0.919711613443,21.2356174996,64.3531988797,5.0237783052,28.9923784418,46.3006670304
PG5PC2-20171224092116.pkl,2.45616829764,11.3932644383,83.639404297,59.9218012487,24.7383378304,97.3397371303
PG5PC2-20171224092435.pkl,0.351608504483,27.3692523828,25.9031659077,11.6323305648,66.3484746073,89.4269987912
PG5PC2-20171224093044.pkl,0.634025046414,9.61651523825,47.3419084324,63.0398037691,63.0051140736,40.8345134852
PG5PC2-20171224094225.pkl,0.421539030323,12.9486739036,84.6680552515,39.1319689764,71.7047754296,97.2081115473
PG5PC2-20171224100633.pkl,0.674742678773,4.01584091629,84.356006995,21.4992307863,61.9048206805,80.8142377255
PG5PC2-20171224100830.pkl,2.88008379971,17.1809520504,5.1845794304,89.8486813599,26.7347422778,57.3575038754
PG5PC2-20171224114204.pkl,2.80224131256,0.0824113361303,66.4681262601,72.3399563157,41.609152468,88.7483199577
PG5PC2-20171224120044.pkl,1.35294536639,8.57812867295,11.1446306512,53.9568661261,61.9412789986,76.053805223
PG5PC2-20171224122435.pkl,0.787929381466,3.48411564905,72.9791407904,28.369879503,9.47062732491,34.1605056185
PG5PC2-20171224124738.pkl,1.58752247355,5.01623751434,78.7162750481,38.5866924482,12.3963718856,29.6471579673
PG5PC2-20171224125348.pkl,1.41344869263,19.6149661146,91.6588411408,39.2342831082,6.24019639438,12.1428198651
PG5PC2-20171224125532.pkl,1.14775668469,17.100887137,12.0800716103,34.2601665991,33.5618145406,44.2692092675
PG5PC2-20171224125843.pkl,0.577032412282,29.3646168485,63.8182336934,23.7807276632,77.1535148091,45.2313459353
PG5PC2-20171224143348.pkl,3.8267070006,0.0964494160598,80.3915752895,89.761797825,93.2315144317,57.2448682044
PG5PC2-20171224145058.pkl,1.56648043032,21.4270705165,62.7818557622,71.9440820691,3.45400612024,38.9382677032
PG5PC2-20171224145709.pkl,1.22363145203,16.7096451924,87.1527094909,86.6582206145,63.1230693417,40.4093107514
PG5PC2-20171224150035.pkl,2.22995055986,24.759099701,37.4869529365,5.35510661864,4.91170977503,90.0140318529
PG5PC2-20171224152433.pkl,1.75922692794,4.81801218036,95.3944663471,96.2782126796,56.4573048107,33.1474675668
PG5PC2-20171224152743.pkl,3.70037427118,13.4657188562,32.8261308593,46.1180213146,40.3302028517,39.1890328216
PG5PC2-20171224152929.pkl,1.93434389152,19.4629094582,11.9113871759,73.2509042869,22.7493950404,63.0184127179
PG5PC2-20171224153246.pkl,0.609412321831,3.85600895757,11.2886654505,10.9740381559,66.0071445032,12.9331894238
PG5PC2-20171224153852.pkl,1.66204421452,19.3518558645,77.0787998651,49.7409988558,40.3309154291,68.432136623
PG5PC2-20171224154045.pkl,1.60497803105,12.9999693654,5.28067760457,67.7124834698,1.39894184667,43.0816654048
PG5PC2-20171224160635.pkl,2.39567588555,0.283671011594,26.3457417956,23.412035523,34.7208914322,39.3048812231
PG5PC2-20171224161910.pkl,0.819859242789,2.2616829335,41.5695746225,82.6293996309,44.1169373411,88.820223745
PG5PC2-20171224162517.pkl,3.99993107152,16.6193432417,60.4254289199,77.6528504428,62.0462475059,95.6204539941
PG5PC2-20171224163758.pkl,1.25422257688,4.37016553168,59.0843989954,65.1347155043,45.2936338651,44.8180062807
PG5PC2-20171224165034.pkl,3.48115527759,5.43334874744,19.1259313273,11.812083803,20.0764462192,41.8535684636
PG5PC2-20171224165643.pkl,0.622392508045,16.5315800827,72.6510700297,19.0090171023,84.3285300948,47.9658993659
PG5PC2-20171224165847.pkl,3.67920852297,24.1703888438,5.14098966565,21.3272787464,2.26182503182,22.7573648663
PG5PC2-20171224170456.pkl,2.82767374861,20.3037747971,83.8451227052,51.1912991578,8.26959892633,22.883762014
PG5PC2-20171224171052.pkl,2.51925769441,25.3699482438,77.2743704921,32.9292540902,18.7710951961,26.0873875709
PG5PC2-20171224171701.pkl,2.61565695471,13.7939650794,64.0598899925,91.9407110595,52.9842049165,41.5710229853
PG5PC2-20171224172306.pkl,3.28416939347,18.7134767389,73.3732824229,56.1358576673,85.715423853,21.0080100813
PG5PC2-20171224172520.pkl,2.24159350784,21.5847690423,20.6582998926,39.1623014137,50.6849263721,4.72662198847
PG5PC2-20171224173731.pkl,1.63778876654,7.35562368312,71.5182763103,28.5063956768,94.244340484,70.012463108
PG5PC2-20171224174349.pkl,2.33146258258,12.8595804694,65.2152661368,29.1929483589,16.0891625315,8.02160816636
PG5PC2-20171224174704.pkl,0.822306642633,27.1783558818,47.9224471636,29.4770555665,84.3928145646,71.4066357983
PG5PC2-20171224181027.pkl,1.20331193594,2.59168676835,68.4430944547,61.5904346756,21.4663631843,1.62817849878
PG5PC2-20171224181229.pkl,0.561768904202,23.7973574281,9.77074968319,57.8592090191,80.2507990188,64.7038548344
PG5PC2-20171224181417.pkl,3.46095825141,26.5909974859,16.3046337806,24.3418745196,79.7702965122,86.5927030539
PG5PC2-20171224182613.pkl,0.874805968779,6.98879649992,54.5842076183,22.323270086,48.1030401864,44.1531020567
PG5PC2-20171224182919.pkl,2.16731141269,23.3111126015,50.8561786767,65.5717910827,32.9713003565,49.5195048306
PG5PC2-20171224184136.pkl,1.43796740505,5.84671158098,65.4910283162,34.3305518701,71.4032586979,23.760008441
PG5PC2-20171224184453.pkl,1.18363602264,16.3504847007,26.2901331533,71.1150465501,68.5527132028,6.93570088505
PG5PC2-20171224184635.pkl,2.67650904796,23.4428105718,12.2351664294,25.7857665529,54.5004593567,97.3416966609
PG5PC2-20171224185838.pkl,3.25398793929,4.15075477404,38.3401003857,34.2957818123,16.954806708,48.8298896896
PG5PC2-20171224190450.pkl,0.392117546619,17.0789110408,60.5386815682,26.3935663419,91.204327651,75.7596201645
PG5PC2-20171224191645.pkl,1.40711019545,11.2768757934,83.2145699409,93.1068218254,33.8699314487,3.11067694104
PG5PC2-20171224192032.pkl,1.28263333463,7.24564876093,22.4412636743,16.7159627568,3.17527209273,18.3519797889
PG5PC2-20171224192214.pkl,3.1828686433,22.8214908722,16.4394750909,22.9793004785,5.38073750006,85.3655479747
PG5PC2-20171224201213.pkl,0.921032084227,26.1723682082,34.8474488753,82.9580142946,61.0514172415,4.1381054745
PG5PC2-20171224201528.pkl,2.06128861026,4.44013648446,14.4172358402,24.4045634123,51.6901911235,84.3331675245
PG5PC2-20171224204005.pkl,2.91300248614,2.17420419008,74.5079815432,99.4706425639,13.0276866672,3.89479043399
PG5PC2-20171224205230.pkl,3.33353258296,9.4096831882,98.6533724282,71.5971718425,90.1668180838,64.6472619469
PG5PC2-20171224205543.pkl,0.674435480855,24.099473009,53.1100954104,46.8457785312,41.2057990603,76.530491325
PG5PC2-20171224210738.pkl,3.64325549775,11.7598165302,93.9492595281,61.8594215417,38.3355861348,72.2958815565
PG5PC2-20171224210941.pkl,3.10607831508,7.93940183907,2.86564692853,56.5241891182,32.6208358822,59.5635561307
PG5PC2-20171224211306.pkl,0.0961631066243,24.5915135711,59.1395280231,45.7218446492,8.32831547765,33.377126368
PG5PC2-20171224211919.pkl,0.986421809452,17.8805434029,86.0794682411,8.98826216372,26.9729189041,7.69521979051
PG5PC2-20171224212248.pkl,0.169419840534,25.0484680579,41.2061430569,31.9057200431,7.6416089953,32.1856334189
PG5PC2-20171224213407.pkl,2.55745847451,8.68492402376,29.4577223741,88.293901761,5.19862864401,76.8893213539
PG5PC2-20171224214037.pkl,0.313449604639,11.2740980558,63.0610524173,3.05856044746,53.7304465145,8.411207311
PG5PC2-20171224214216.pkl,2.09988145406,28.8977219199,22.7336489539,44.9963465522,90.4842777265,38.0657447494
PG5PC2-20171224214821.pkl,3.59990161162,15.5379079555,56.2911640376,40.5640704224,89.2579892859,67.4356450493
PG5PC2-20171224215431.pkl,3.07010989221,15.4192965575,67.8000135711,15.9813707522,66.5013461087,63.0934205543
PG5PC2-20171224220622.pkl,0.682708295185,10.4858610052,78.7881957498,17.8901938125,17.0835428471,36.5105138831
PG5PC2-20171224221837.pkl,3.97622646545,9.41265995788,88.5371321932,52.6042182467,79.339237798,94.4869045359
PG5PC2-20171224222023.pkl,1.25280546101,10.9904928719,7.32091917673,92.6350835581,27.7589142959,36.9746429782
PG5PC2-20171224223134.pkl,1.48241276441,25.9934514222,69.9346021839,27.278635717,24.0366297562,91.1405778073
PG5PC2-20171224223743.pkl,2.37587958381,11.9053199773,54.2162854642,31.3120445363,26.04755447,34.3996946547
PG5PC2-20171224224951.pkl,0.19502604067,7.87782503733,72.2204130725,62.1462004386,23.8008852081,20.076051384
PG5PC2-20171224225925.pkl,2.22441397115,19.9160508479,59.2350118313,78.0602272756,58.4228002488,62.2938043404
PG5PC2-20171224230237.pkl,0.625691388364,16.3831400872,31.0520000209,41.2919655559,66.686951891,33.3715982809
PG5PC2-20171224230847.pkl,0.969644504938,10.7769985202,57.8905814285,65.9603201827,43.0523750373,70.4665525683
PG5PC2-20171224232113.pkl,1.76730746489,6.8311823031,75.7416723642,47.8535994485,15.589263138,51.3358795689
PG5PC2-20171224232311.pkl,0.397408166415,18.8853260862,3.80431037953,11.8113700162,46.0000609928,77.0528348895
PG5PC2-20171224232934.pkl,0.437605171655,18.4579268725,99.0210677207,30.1782090671,2.11835687256,37.4539808232
PG5PC2-20171225002800.pkl,0.723074887542,27.0708763905,33.1790657867,12.3116538859,72.6605012442,11.9267011293
PG5PC2-20171225002946.pkl,0.545387481826,23.811757932,20.5628438474,28.3922955526,20.32633125,49.129447356
PG5PC2-20171225003606.pkl,0.426406447366,21.9321419376,96.3614508687,83.2833252332,46.749324985,81.2920364838
PG5PC2-20171225004229.pkl,3.96184304111,10.4036288002,60.0734685761,96.8705487705,92.3207018697,17.8596176595
PG5PC2-20171225005448.pkl,0.623287588784,3.80327193248,48.9408395769,18.0872153041,93.733611855,36.2079909068
PG5PC2-20171225014250.pkl,3.29457173636,1.5569104341,86.1964405812,3.26007876949,91.7732029507,21.9746520471
PG5PC2-20171225014612.pkl,3.16196995355,20.5912990582,24.7490415898,32.9372200383,17.3762191318,45.9803117404
PG5PC2-20171225015833.pkl,3.14672616329,8.49190442636,88.9828090899,53.5748811221,6.08131331019,59.0906566674
