file,mu0,gamma0,beta0,eta0,kappa0,lambda0,scale0
PG5PC2a-20171226012231.pkl,0.637923071333,24.1397987967,13.9549144938,45.5957952986,2.47171487847,73.9152413761,0.295584611883
PG5PC2a-20171226014522.pkl,1.00357735482,25.1097981906,33.6309204754,45.9517441813,76.8068993489,86.3052801672,0.746286127852
PG5PC2a-20171226015146.pkl,2.49262267179,17.120843903,37.2841131116,80.0382278903,62.3714673062,91.7232607394,0.110903547951
PG5PC2a-20171226020623.pkl,2.94280791746,8.73956080075,51.1886654617,7.66055677808,22.0114823802,71.784822673,0.713550249702
PG5PC2a-20171226020826.pkl,1.03716876149,22.2360471781,17.8405270321,80.4824834506,20.7755488046,14.520062565,0.10915853648
PG5PC2a-20171226021253.pkl,2.83253156711,25.7655315305,51.6783167033,6.10021861925,49.2091222984,52.5359819367,0.310442116877
PG5PC2a-20171226022512.pkl,1.56490458966,26.0884272823,76.6195785633,32.1736349434,86.716654779,55.8295216935,0.62248258185
PG5PC2a-20171226023230.pkl,2.10978128024,27.7642739981,88.1765729619,47.5435951683,41.1810306448,49.2457265695,0.914894267207
PG5PC2a-20171226023630.pkl,2.68205915433,7.25085276184,12.1858051714,55.0229852273,49.2488966962,12.9368287066,0.527645242744
PG5PC2a-20171226025212.pkl,2.83828702838,13.3592176525,79.1388385217,60.7899033833,23.9847862038,81.9080656215,0.0591048772046
PG5PC2a-20171226030639.pkl,1.48646067314,9.09988793844,56.5588395128,99.926856753,79.0899573502,49.3748751503,0.234997757777
PG5PC2a-20171226031051.pkl,0.121313247631,19.3602801129,46.7611818066,5.13221710467,67.2425692354,12.1058511499,0.802792043967
PG5PC2a-20171226032621.pkl,2.80497646374,8.61739092634,86.6773767161,19.2485172919,27.9484843524,17.8837137842,0.451959265861
PG5PC2a-20171226033013.pkl,3.35950310541,19.5194851317,28.9594685372,98.1225729216,81.1372507055,38.8079449289,0.241429520083
PG5PC2a-20171226033420.pkl,3.47867854138,12.3901332787,25.1102051252,6.98681102517,38.5910933909,16.0286889349,0.425608108568
PG5PC2a-20171226034303.pkl,1.81217544339,12.3901478911,48.8713491668,98.9953733582,70.0958898816,50.5502127089,0.0210022522547
PG5PC2a-20171226035800.pkl,2.18763618608,4.59994126585,40.8606994438,43.9057119169,46.7684670764,71.6355296854,0.587770687136
PG5PC2a-20171226040354.pkl,2.96865432417,16.4158086505,19.9063922679,16.7684056811,98.5474378762,60.4665410603,0.194404143092
PG5PC2a-20171226041125.pkl,0.985164840165,14.5935484073,62.5947331837,74.5743320017,41.3072073517,5.12704301542,0.605593585601
PG5PC2a-20171226041903.pkl,0.696240715484,22.6776900739,88.2458609233,85.9637358437,86.5800390064,73.8721099704,0.319414506185
PG5PC2a-20171226042307.pkl,3.78656298305,27.8593667432,61.4018893894,88.4582226474,38.8868070396,16.4453160201,0.284800609862
PG5PC2a-20171226043104.pkl,1.49151447648,15.9781955536,73.3559285292,80.1199514537,39.2799741151,8.58075622337,0.490615406033
PG5PC2a-20171226043341.pkl,3.63691875335,19.9249683893,3.30330159618,94.6529075505,47.9678979275,87.8768786333,0.338133137235
PG5PC2a-20171226044152.pkl,1.85125404061,4.86163240187,22.999887907,5.95260694253,66.83112043,82.350785011,0.132561608001
PG5PC2a-20171226044603.pkl,1.75746824833,26.6951188229,55.3204586802,30.3910145725,45.427810577,66.0602163043,0.169194946048
PG5PC2a-20171226044959.pkl,3.00992985451,18.3899565068,17.494874775,14.00814338,6.69160017713,95.5241166134,0.594199804857
PG5PC2a-20171226045802.pkl,1.35362930597,17.9008329087,87.5456432152,45.59984535,24.4548342609,49.0392410793,0.141284934713
PG5PC2a-20171226050051.pkl,0.701562983343,20.7778593913,2.53218772232,33.7475766951,55.2837807983,38.646716299,0.885430413194
PG5PC2a-20171226050327.pkl,3.46001559989,14.6450622688,3.83855731915,77.116425039,79.1037881684,38.6643064874,0.530927706109
PG5PC2a-20171226051058.pkl,1.5261084532,26.8192974056,85.4329922118,36.1275416505,60.4366849292,62.9718603193,0.60013362917
PG5PC2a-20171226051847.pkl,0.539662844424,25.2892649187,70.1407151529,42.1923892967,19.8699216496,28.1563602084,0.637744921978
PG5PC2a-20171226052945.pkl,2.13217328734,5.38553172784,32.1803978667,26.2296950811,5.59543182235,71.8078937493,0.56885701717
PG5PC2a-20171226060118.pkl,0.238558689585,1.45733739542,55.2465905783,97.4491261754,95.4365054394,75.7943960458,0.912437680525
PG5PC2a-20171226063213.pkl,2.37036948828,2.552721011,43.8714022213,36.9856995412,87.5148768018,73.1979452521,0.287817294944
PG5PC2a-20171226073819.pkl,3.42199557088,29.6491589633,42.0507197959,50.2636277018,54.8794883535,10.7144477276,0.0546034567893
PG5PC2a-20171226074210.pkl,3.80701733215,27.2736174734,40.8096941629,97.7821716722,97.1790487079,64.9060344374,0.10846308252
PG5PC2a-20171226074733.pkl,0.531456517623,13.8717424342,15.0140089409,19.0420084371,29.4786335041,55.8462512917,0.96274159968
PG5PC2a-20171226075646.pkl,0.860292634363,6.81235543973,37.9381690777,86.0192545604,3.04711195016,79.2885006452,0.0710927155118
PG5PC2a-20171226080955.pkl,0.382913873681,11.2575981651,36.7785731509,19.2039176272,50.7639784616,87.9553940398,0.660177101325
PG5PC2a-20171226084021.pkl,0.866407500909,3.4947887426,77.4330052125,8.92756574011,53.988409536,72.2756880613,0.440279199264
PG5PC2a-20171226100321.pkl,1.93708424731,19.4432816301,25.4438850099,84.756349163,2.218566615,43.6380679764,0.641395899483
PG5PC2a-20171226110001.pkl,2.69751923275,19.1026910701,22.7637745191,18.8124492264,59.5284402495,94.4662298535,0.312554382159
PG5PC2a-20171226110424.pkl,1.26862540569,21.4536826942,53.7186367061,96.2141308719,72.0206297318,74.3532136029,0.861549304208
PG5PC2a-20171226110802.pkl,0.843009891272,25.5206910036,56.7787473247,69.1914733013,51.739961067,74.7057990324,0.730449637198
PG5PC2a-20171226111524.pkl,3.12090886762,20.8207820616,67.6048352629,7.22876938589,46.8392214457,44.6367910934,0.628019221724
PG5PC2a-20171226112933.pkl,1.70045752433,11.5363652609,99.9514460332,71.7968736267,61.1530447964,99.2403337793,0.311272983212
PG5PC2a-20171226114351.pkl,2.83041817336,13.4685156457,92.4787154,4.00856002225,32.2906112783,65.3525560031,0.722055164289
PG5PC2a-20171226115142.pkl,1.55545218521,27.2029141898,81.4927651008,74.3169482982,69.9944545781,69.25068788,0.0668570026528
PG5PC2a-20171226120606.pkl,2.01969686326,7.77816243268,82.3770534054,79.6493976596,86.0814808337,92.2284280037,0.661476867215
PG5PC2a-20171226120959.pkl,0.715172920125,19.7339025199,38.6042870727,7.27536712486,14.9501530717,82.0769569609,0.0927235413713
PG5PC2a-20171226122540.pkl,0.428785765986,20.9375912894,65.8270551396,63.8411182315,49.5037016373,69.8989013478,0.129616987457
PG5PC2a-20171226122747.pkl,3.74552879841,13.0305052406,4.03089487747,8.96808310166,74.3028070759,99.3786218884,0.79441403257
PG5PC2a-20171226124117.pkl,1.51116904818,9.38320876423,90.6641447478,26.832683561,77.1435609725,3.47847842179,0.532937934709
PG5PC2a-20171226124458.pkl,0.171125327176,28.5735826029,71.451924058,29.8702532564,85.3291695313,48.5824005594,0.570078083832
PG5PC2a-20171226125301.pkl,0.757443067298,29.0712475751,75.8500310123,3.17679514437,43.7470139454,76.7811644519,0.437381080017
PG5PC2a-20171226130622.pkl,1.05271257445,6.25121790689,68.8631242333,50.1951495873,97.5673045861,94.7937219548,0.878403380839
PG5PC2a-20171226131316.pkl,3.35905829537,9.02141856117,47.2222694283,35.7246375692,40.1764818544,3.52309859608,0.292914213986
