eap,parameter
2.98670337748,ability[0]
2.54536714713,ability[1]
2.68277076401,ability[2]
2.78193132426,ability[3]
2.44883208818,ability[4]
3.13777397235,ability[5]
2.69150105048,ability[6]
2.54707606905,ability[7]
2.90847843319,ability[8]
2.79335359889,ability[9]
2.59924542101,ability[10]
2.58451814064,ability[11]
2.51388224536,ability[12]
2.42903081684,ability[13]
3.16905796456,ability[14]
2.74160884683,ability[15]
2.55527874831,ability[16]
2.73639960741,ability[17]
2.45557835303,ability[18]
2.64536808164,ability[19]
2.69662574187,ability[20]
2.58394714825,ability[21]
2.82517847957,ability[22]
3.12907146272,ability[23]
2.3799937216,ability[24]
3.08728774029,ability[25]
2.54735638883,ability[26]
2.3400507864,ability[27]
2.60845127548,ability[28]
2.54723238179,ability[29]
2.51904498167,ability[30]
2.9185158578,ability[31]
3.0188741458,ability[32]
2.62178057222,ability[33]
3.2257462165,ability[34]
2.61042855258,ability[35]
2.78402541365,ability[36]
2.42483544625,ability[37]
2.38039074511,ability[38]
3.34649625563,ability[39]
2.67298466566,ability[40]
2.64462300386,ability[41]
2.4394296225,ability[42]
2.39155356707,ability[43]
2.36260409694,ability[44]
2.54664658377,ability[45]
2.66656391179,ability[46]
3.29427246572,ability[47]
2.69368984215,ability[48]
2.46065663322,ability[49]
2.48829641343,ability[50]
2.87709923948,ability[51]
2.54981732945,ability[52]
2.68795141015,ability[53]
2.68961002827,ability[54]
2.96734533308,ability[55]
2.67196296957,ability[56]
2.66626065358,ability[57]
2.57464921288,ability[58]
2.50746968266,ability[59]
2.844036754,ability[60]
2.84030370066,ability[61]
2.54787779247,ability[62]
2.76027110804,ability[63]
2.79989061557,ability[64]
2.69531433807,ability[65]
2.44775747048,ability[66]
3.4766716013,ability[67]
2.81550612481,ability[68]
3.04148538291,ability[69]
2.95918222707,ability[70]
2.64911716889,ability[71]
2.75947456651,ability[72]
2.87887050161,ability[73]
2.72283084153,ability[74]
2.49470118847,ability[75]
2.49031942875,ability[76]
2.45572582885,ability[77]
2.59855002482,ability[78]
2.6831267958,ability[79]
2.69500931259,ability[80]
2.69658124461,ability[81]
2.71232712847,ability[82]
2.7393602266,ability[83]
2.47890597267,ability[84]
2.54677174012,ability[85]
2.67498775322,ability[86]
2.54475248467,ability[87]
2.55244232104,ability[88]
2.74794628172,ability[89]
2.47950911851,ability[90]
2.44522480341,ability[91]
2.30931973031,ability[92]
2.53764175143,ability[93]
2.63868144227,ability[94]
2.53279958399,ability[95]
2.21219420489,ability[96]
2.56882781156,ability[97]
2.68832867428,ability[98]
2.5550617672,ability[99]
2.2946920173,ability[100]
3.0324408726,ability[101]
2.65885752877,ability[102]
2.74706610948,ability[103]
2.76229466995,ability[104]
2.34016376197,ability[105]
2.61359776461,ability[106]
2.73900575853,ability[107]
2.54846749443,ability[108]
2.88343969665,ability[109]
2.97511729691,ability[110]
2.93830910664,ability[111]
2.44259924527,ability[112]
3.050442295,ability[113]
2.80380424362,ability[114]
2.54559853181,ability[115]
2.5940130528,ability[116]
2.94382875638,ability[117]
2.86463763734,ability[118]
2.53300842617,ability[119]
2.90211656482,ability[120]
2.63399216236,ability[121]
2.97310170137,ability[122]
2.82999056097,ability[123]
2.64288045387,ability[124]
2.92207887353,ability[125]
2.07768125667,ability[126]
2.96370526739,ability[127]
2.97950963207,ability[128]
2.44493101185,ability[129]
2.25414748939,ability[130]
2.55019203491,ability[131]
2.86270451469,ability[132]
2.88216940888,ability[133]
2.74714673377,ability[134]
2.42040107483,ability[135]
2.59888893931,ability[136]
2.84184240831,ability[137]
2.74438537776,ability[138]
2.60940244339,ability[139]
2.97584795792,ability[140]
2.56049895739,ability[141]
2.31289800478,ability[142]
2.53513363427,ability[143]
2.50411876183,ability[144]
2.84849119629,ability[145]
2.64397112048,ability[146]
2.82121138715,ability[147]
2.51500287985,ability[148]
2.74728886804,ability[149]
2.5659260677,ability[150]
2.61036249248,ability[151]
2.64371139833,ability[152]
2.97477181237,ability[153]
2.81112660369,ability[154]
2.6980194593,ability[155]
2.67038170302,ability[156]
2.39375386616,ability[157]
2.51167262574,ability[158]
2.67827324584,ability[159]
2.61364402022,ability[160]
2.54550466516,ability[161]
2.88218415857,ability[162]
2.35571517278,ability[163]
2.5959034984,ability[164]
3.13412222091,ability[165]
3.06765412445,ability[166]
2.57991890042,ability[167]
2.41513189341,ability[168]
2.14956290896,ability[169]
3.14441208636,ability[170]
2.6200449188,ability[171]
2.92343493263,ability[172]
2.64448584805,ability[173]
3.13635010167,ability[174]
2.95731268271,ability[175]
2.76405450178,ability[176]
2.54795564582,ability[177]
2.66727635215,ability[178]
2.57427959828,ability[179]
2.71431285834,ability[180]
2.59260037528,ability[181]
2.70479072759,ability[182]
2.54008220969,ability[183]
2.7809124306,ability[184]
2.7673289742,ability[185]
2.80795160491,ability[186]
2.50932303076,ability[187]
2.35773001732,ability[188]
2.46320447566,ability[189]
2.56124334768,ability[190]
2.33214678622,ability[191]
2.66068038713,ability[192]
2.73317709131,ability[193]
2.07445286275,ability[194]
2.81210534544,ability[195]
2.36745541551,ability[196]
2.70916080497,ability[197]
2.44335120243,ability[198]
2.37211847306,ability[199]
2.43448233796,ability[200]
2.53133081284,ability[201]
2.53732299888,ability[202]
2.56985962837,ability[203]
2.51616537408,ability[204]
1.76082352926,ability[205]
2.47952843676,ability[206]
2.58877119241,ability[207]
2.59051153839,ability[208]
2.21706550723,ability[209]
2.4868080182,ability[210]
2.5495122348,ability[211]
2.73347401845,ability[212]
