eap,parameter
3.56702426608,ability[0]
3.45902480627,ability[1]
3.42756723389,ability[2]
3.84114311754,ability[3]
3.56246804225,ability[4]
3.95444124908,ability[5]
3.49610758023,ability[6]
3.47332177482,ability[7]
3.03083466962,ability[8]
3.47226643892,ability[9]
3.47673176397,ability[10]
3.32438797597,ability[11]
2.84475212654,ability[12]
3.363258408,ability[13]
3.9364351422,ability[14]
3.41859144168,ability[15]
3.03220361668,ability[16]
3.44503854004,ability[17]
3.36009669643,ability[18]
3.1770673312,ability[19]
3.39296286792,ability[20]
3.6588877457,ability[21]
3.43124764514,ability[22]
3.45638344818,ability[23]
3.40238116067,ability[24]
3.51629716705,ability[25]
3.46249574524,ability[26]
3.13413025508,ability[27]
3.41142614917,ability[28]
3.45468450568,ability[29]
2.95705818191,ability[30]
2.97732960735,ability[31]
3.69961396373,ability[32]
3.62033904271,ability[33]
3.98052089549,ability[34]
3.48555751003,ability[35]
3.45018264516,ability[36]
3.45092135247,ability[37]
3.22490206968,ability[38]
3.66611547717,ability[39]
3.40541591447,ability[40]
3.34903118894,ability[41]
3.25705785628,ability[42]
3.1976722545,ability[43]
2.61664740899,ability[44]
3.80222975961,ability[45]
3.34258956202,ability[46]
3.8740683922,ability[47]
3.5160199869,ability[48]
3.41698515004,ability[49]
3.43496450057,ability[50]
3.73477009129,ability[51]
3.93730396383,ability[52]
3.21584960735,ability[53]
3.48979240568,ability[54]
3.75233965873,ability[55]
3.44364043859,ability[56]
3.96782481165,ability[57]
2.64713857529,ability[58]
3.60087097486,ability[59]
3.91874580658,ability[60]
3.54615652341,ability[61]
3.92127402317,ability[62]
3.64569288323,ability[63]
3.49319994862,ability[64]
3.35670652038,ability[65]
3.17448147323,ability[66]
3.66250413844,ability[67]
3.49994175769,ability[68]
3.47815072066,ability[69]
3.43176495553,ability[70]
3.43889126096,ability[71]
3.44246694049,ability[72]
3.61861067411,ability[73]
3.23481536607,ability[74]
3.3521807285,ability[75]
3.35922267361,ability[76]
3.34720316804,ability[77]
3.32002992675,ability[78]
3.15364679975,ability[79]
3.51460908194,ability[80]
3.40967182566,ability[81]
3.45120623734,ability[82]
3.42052549469,ability[83]
3.56766139118,ability[84]
3.45792180233,ability[85]
3.35361147575,ability[86]
3.44605457734,ability[87]
3.35812021552,ability[88]
3.32519516954,ability[89]
3.33125395245,ability[90]
3.50260848336,ability[91]
3.71645178279,ability[92]
2.94365633123,ability[93]
3.44980268321,ability[94]
3.35895085505,ability[95]
3.20159987938,ability[96]
3.9720915952,ability[97]
3.09813627087,ability[98]
3.38685028913,ability[99]
3.2709014355,ability[100]
3.98746659026,ability[101]
3.38264367415,ability[102]
3.51091726638,ability[103]
3.37963584675,ability[104]
